id,agent_type,o_zone_id,d_zone_id,o_zone_name,d_zone_name,o_node_id,d_node_id,path_node_seq,path_link_seq,b_generated,b_complete_trip,geometry,departure_time
1,v,0,0,A0,A0,1937,1937,[],[],False,False,"LINESTRING(-111.9401906 33.432, -111.9401906 33.432)",0719
3,v,0,2,A0,A2,1804,492,[],[],False,False,"LINESTRING(-111.9398724 33.4311569, -111.9350622 33.4304003)",0739
4,v,0,3,A0,A3,1821,1417,[],[],False,False,"LINESTRING(-111.9401024 33.432, -111.9345832 33.4319269)",0737
5,v,0,4,A0,A4,1937,2881,[],[],False,False,"LINESTRING(-111.9401906 33.432, -111.932407 33.430217)",0740
6,v,0,5,A0,A5,1822,1421,[],[],False,False,"LINESTRING(-111.9396731 33.4317205, -111.9301153 33.4305799)",0721
7,v,0,6,A0,A6,1802,1,[],[],False,False,"LINESTRING(-111.9395459 33.4316562, -111.9262851 33.432)",0758
10,v,0,9,A0,A9,1822,3008,[],[],False,False,"LINESTRING(-111.9396731 33.4317205, -111.9186286 33.431419)",0744
11,v,0,10,A0,B0,2683,706,[],[],False,False,"LINESTRING(-111.9416314 33.4310061, -111.9400949 33.4297499)",0751
12,v,0,11,A0,B1,1803,2235,[],[],False,False,"LINESTRING(-111.9396558 33.431647, -111.9385019 33.4298693)",0754
14,v,0,13,A0,B3,333,1180,[],[],False,False,"LINESTRING(-111.9399296 33.432, -111.9335654 33.4291417)",0754
15,v,0,14,A0,B4,333,2621,[],[],False,False,"LINESTRING(-111.9399296 33.432, -111.9312269 33.4289032)",0732
16,v,0,15,A0,B5,1824,1816,[],[],False,False,"LINESTRING(-111.9394676 33.431717, -111.9294365 33.4288869)",0800
17,v,0,16,A0,B6,178,233,[],[],False,False,"LINESTRING(-111.9400645 33.4312508, -111.9261 33.429328)",0720
21,v,0,20,A0,C0,1937,684,[],[],False,False,"LINESTRING(-111.9401906 33.432, -111.940067 33.427576)",0726
22,v,0,21,A0,C1,1801,516,[],[],False,False,"LINESTRING(-111.9394482 33.4316643, -111.9377977 33.4284284)",0713
23,v,0,22,A0,C2,1937,2303,[],[],False,False,"LINESTRING(-111.9401906 33.432, -111.9357537 33.4282532)",0748
24,v,0,23,A0,C3,2885,1959,[],[],False,False,"LINESTRING(-111.9395179 33.430262, -111.9334964 33.4271725)",0728
25,v,0,24,A0,C4,1803,1121,[],[],False,False,"LINESTRING(-111.9396558 33.431647, -111.9311724 33.4283445)",0800
26,v,0,25,A0,C5,1821,1160,[],[],False,False,"LINESTRING(-111.9401024 33.432, -111.9294828 33.4279773)",0733
31,v,0,30,A0,D0,1821,3132,[],[],False,False,"LINESTRING(-111.9401024 33.432, -111.940285 33.4265429)",0710
32,v,0,31,A0,D1,1821,1410,[],[],False,False,"LINESTRING(-111.9401024 33.432, -111.938391 33.4259199)",0750
33,v,0,32,A0,D2,2683,2309,[],[],False,False,"LINESTRING(-111.9416314 33.4310061, -111.936407 33.425984)",0714
34,v,0,33,A0,D3,2885,2552,[],[],False,False,"LINESTRING(-111.9395179 33.430262, -111.9328457 33.4248878)",0713
35,v,0,34,A0,D4,181,1079,[],[],False,False,"LINESTRING(-111.9401399 33.4303209, -111.930896 33.4250811)",0726
37,v,0,36,A0,D6,180,3109,[],[],False,False,"LINESTRING(-111.9403 33.4308807, -111.9272361 33.425273)",0716
41,v,0,40,A0,E0,1804,1900,[],[],False,False,"LINESTRING(-111.9398724 33.4311569, -111.9394069 33.4230793)",0749
42,v,0,41,A0,E1,2683,2018,[],[],False,False,"LINESTRING(-111.9416314 33.4310061, -111.9380276 33.4237833)",0745
43,v,0,42,A0,E2,180,1372,[],[],False,False,"LINESTRING(-111.9403 33.4308807, -111.9355051 33.4241509)",0733
44,v,0,43,A0,E3,2683,1500,[],[],False,False,"LINESTRING(-111.9416314 33.4310061, -111.9324588 33.4234813)",0756
