link_seq_id,link_id,base_s0_link_type,from_node_id,to_node_id,geometry,distance_km,distance_mile,fftt,free_speed_base_mode,link_specific_speed_diff,capacity_base_mode,link_specific_capacity_diff,meso_link_id,tmc,tmc_corridor_name,tmc_corridor_id,tmc_road_order,tmc_road_sequence,subarea_id,lanes_s0,link_type_s0,free_speed_s0,capacity_s0,lanes_p1_s0_walk,lanes_p1_s0_bike,VOL_p1_s0_walk,VOL_p1_s0_bike,MEU_p1_s0_walk,MEU_p1_s0_bike,CAP_p1_s0_walk,CAP_p1_s0_bike,PEN_p1_s0_walk,PEN_p1_s0_bike,DOC_p1_s0_walk,DOC_p1_s0_bike,TT_p1_s0_walk,TT_p1_s0_bike,CO2_p1_s0_walk,CO2_p1_s0_bike,NOX_p1_s0_walk,NOX_p1_s0_bike,VOL_am_scenario_walk,MEU_am_scenario_walk,CAP_am_scenario_walk,PEN_am_scenario_walk,DOC_am_scenario_walk,TT_am_scenario_walk,CO2_am_scenario_walk,NOX_am_scenario_walk,VOL_am_scenario_bike,MEU_am_scenario_bike,CAP_am_scenario_bike,PEN_am_scenario_bike,DOC_am_scenario_bike,TT_am_scenario_bike,CO2_am_scenario_bike,NOX_am_scenario_bike,
1,0,primary,0,1,"LINESTRING (-111.9262877 33.4312176, -111.9262851 33.4320000)",0.086740,0.053909,0.086740,60.000000,0.000000,1800.000000,-200.000000,-1,,network_wide,-1,0,-1,-1,3.0,primary,60.0,1800.0,3.0,3.0,49.8,49.8,49.8,49.8,5400.0,6000.0,0.0,0.0,0.0092,0.0092,0.1,0.1,0.0,0.0,0.0,0.0,49.8,49.8,5400.000,0.000,0.0092,0.087,0.000,0.000,49.8,49.8,6000.000,0.000,0.0092,0.087,0.000,0.000,
2,1,primary,1,0,"LINESTRING (-111.9262851 33.4320000, -111.9262877 33.4312176)",0.086740,0.053909,0.086740,60.000000,0.000000,1800.000000,-200.000000,-1,,network_wide,-1,0,-1,-1,3.0,primary,60.0,1800.0,3.0,3.0,46.1,46.1,46.1,46.1,5400.0,6000.0,0.0,0.0,0.0085,0.0085,0.1,0.1,0.0,0.0,0.0,0.0,46.1,46.1,5400.000,0.000,0.0085,0.087,0.000,0.000,46.1,46.1,6000.000,0.000,0.0085,0.087,0.000,0.000,
3,2,residential,2,3,"LINESTRING (-111.9303126 33.4236793, -111.9302974 33.4237487, -111.9302893 33.4237753, -111.9302809 33.4238008, -111.9302683 33.4238287, -111.9302531 33.4238532, -111.9302353 33.4238761, -111.9302153 33.4238971, -111.9301901 33.4239166, -111.9301629 33.4239344, -111.9301342 33.4239491, -111.9301050 33.4239619, -111.9300750 33.4239741, -111.9299266 33.4240263)",0.056820,0.035314,0.056820,60.000000,0.000000,1000.000000,-1000.000000,-1,,network_wide,-1,0,-1,-1,1.0,residential,60.0,1000.0,1.0,1.0,0.0,0.0,0.0,0.0,1000.0,2000.0,0.0,0.0,0.0000,0.0000,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1000.000,0.000,0.0000,0.057,0.000,0.000,0.0,0.0,2000.000,0.000,0.0000,0.057,0.000,0.000,
4,3,residential,3,2,"LINESTRING (-111.9299266 33.4240263, -111.9300750 33.4239741, -111.9301050 33.4239619, -111.9301342 33.4239491, -111.9301629 33.4239344, -111.9301901 33.4239166, -111.9302153 33.4238971, -111.9302353 33.4238761, -111.9302531 33.4238532, -111.9302683 33.4238287, -111.9302809 33.4238008, -111.9302893 33.4237753, -111.9302974 33.4237487, -111.9303126 33.4236793)",0.056820,0.035314,0.056820,60.000000,0.000000,1000.000000,-1000.000000,-1,,network_wide,-1,0,-1,-1,1.0,residential,60.0,1000.0,1.0,1.0,0.0,0.0,0.0,0.0,1000.0,2000.0,0.0,0.0,0.0000,0.0000,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1000.000,0.000,0.0000,0.057,0.000,0.000,0.0,0.0,2000.000,0.000,0.0000,0.057,0.000,0.000,
5,4,residential,3,4,"LINESTRING (-111.9299266 33.4240263, -111.9292474 33.4242503, -111.9290798 33.4242989)",0.084340,0.052418,0.084340,60.000000,0.000000,1000.000000,-1000.000000,-1,,network_wide,-1,0,-1,-1,1.0,residential,60.0,1000.0,1.0,1.0,0.0,0.0,0.0,0.0,1000.0,2000.0,0.0,0.0,0.0000,0.0000,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1000.000,0.000,0.0000,0.084,0.000,0.000,0.0,0.0,2000.000,0.000,0.0000,0.084,0.000,0.000,
6,5,residential,4,3,"LINESTRING (-111.9290798 33.4242989, -111.9292474 33.4242503, -111.9299266 33.4240263)",0.084340,0.052418,0.084340,60.000000,0.000000,1000.000000,-1000.000000,-1,,network_wide,-1,0,-1,-1,1.0,residential,60.0,1000.0,1.0,1.0,0.0,0.0,0.0,0.0,1000.0,2000.0,0.0,0.0,0.0000,0.0000,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1000.000,0.000,0.0000,0.084,0.000,0.000,0.0,0.0,2000.000,0.000,0.0000,0.084,0.000,0.000,
7,6,residential,5,6,"LINESTRING (-111.9403000 33.4243435, -111.9401499 33.4243445)",0.013950,0.008670,0.013950,60.000000,0.000000,1000.000000,-1000.000000,-1,,network_wide,-1,0,-1,-1,1.0,residential,60.0,1000.0,1.0,1.0,0.0,0.0,0.0,0.0,1000.0,2000.0,0.0,0.0,0.0000,0.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.000,0.000,0.0000,0.014,0.000,0.000,0.0,0.0,2000.000,0.000,0.0000,0.014,0.000,0.000,
8,7,residential,6,5,"LINESTRING (-111.9401499 33.4243445, -111.9403000 33.4243435)",0.013950,0.008670,0.013950,60.000000,0.000000,1000.000000,-1000.000000,-1,,network_wide,-1,0,-1,-1,1.0,residential,60.0,1000.0,1.0,1.0,0.0,0.0,0.0,0.0,1000.0,2000.0,0.0,0.0,0.0000,0.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.000,0.000,0.0000,0.014,0.000,0.000,0.0,0.0,2000.000,0.000,0.0000,0.014,0.000,0.000,
9,8,residential,6,7,"LINESTRING (-111.9401499 33.4243445, -111.9400710 33.4243450)",0.007340,0.004562,0.007340,60.000000,0.000000,1000.000000,-1000.000000,-1,,network_wide,-1,0,-1,-1,1.0,residential,60.0,1000.0,1.0,1.0,0.0,0.0,0.0,0.0,1000.0,2000.0,0.0,0.0,0.0000,0.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.000,0.000,0.0000,0.007,0.000,0.000,0.0,0.0,2000.000,0.000,0.0000,0.007,0.000,0.000,
10,9,residential,7,6,"LINESTRING (-111.9400710 33.4243450, -111.9401499 33.4243445)",0.007340,0.004562,0.007340,60.000000,0.000000,1000.000000,-1000.000000,-1,,network_wide,-1,0,-1,-1,1.0,residential,60.0,1000.0,1.0,1.0,0.0,0.0,0.0,0.0,1000.0,2000.0,0.0,0.0,0.0000,0.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.000,0.000,0.0000,0.007,0.000,0.000,0.0,0.0,2000.000,0.000,0.0000,0.007,0.000,0.000,
