iteration,mode_type,zone_id,node_id,d_zone_id,connected_flag,pred,label_cost,pred_link_cost,x_coord,y_coord,geometry
0,bike,1,0,-1,1,1,0.086740,0.086740,-111.926288,33.431218,"LINESTRING (-111.926288 33.431218,-111.926285 33.432000)"
0,walk,1,0,-1,1,1,0.086740,0.086740,-111.926288,33.431218,"LINESTRING (-111.926288 33.431218,-111.926285 33.432000)"
1,bike,1,0,-1,1,1,0.086740,0.086740,-111.926288,33.431218,"LINESTRING (-111.926288 33.431218,-111.926285 33.432000)"
1,walk,1,0,-1,1,1,0.086740,0.086740,-111.926288,33.431218,"LINESTRING (-111.926288 33.431218,-111.926285 33.432000)"
0,bike,1,1,-1,1,-1,0.000000,0.000000,-111.926285,33.432000,"LINESTRING (-111.926285 33.432000,-111.926285 33.432000)"
0,walk,1,1,-1,1,-1,0.000000,0.000000,-111.926285,33.432000,"LINESTRING (-111.926285 33.432000,-111.926285 33.432000)"
1,bike,1,1,-1,1,-1,0.000000,0.000000,-111.926285,33.432000,"LINESTRING (-111.926285 33.432000,-111.926285 33.432000)"
1,walk,1,1,-1,1,-1,0.000000,0.000000,-111.926285,33.432000,"LINESTRING (-111.926285 33.432000,-111.926285 33.432000)"
0,bike,1,2,-1,1,3,1.226620,0.056820,-111.930313,33.423679,"LINESTRING (-111.930313 33.423679,-111.929927 33.424026)"
0,walk,1,2,-1,1,3,1.226620,0.056820,-111.930313,33.423679,"LINESTRING (-111.930313 33.423679,-111.929927 33.424026)"
1,bike,1,2,-1,1,3,1.226620,0.056820,-111.930313,33.423679,"LINESTRING (-111.930313 33.423679,-111.929927 33.424026)"
1,walk,1,2,-1,1,3,1.226620,0.056820,-111.930313,33.423679,"LINESTRING (-111.930313 33.423679,-111.929927 33.424026)"
0,bike,1,3,-1,1,4,1.169800,0.084340,-111.929927,33.424026,"LINESTRING (-111.929927 33.424026,-111.929080 33.424299)"
0,walk,1,3,-1,1,4,1.169800,0.084340,-111.929927,33.424026,"LINESTRING (-111.929927 33.424026,-111.929080 33.424299)"
1,bike,1,3,-1,1,4,1.169800,0.084340,-111.929927,33.424026,"LINESTRING (-111.929927 33.424026,-111.929080 33.424299)"
1,walk,1,3,-1,1,4,1.169800,0.084340,-111.929927,33.424026,"LINESTRING (-111.929927 33.424026,-111.929080 33.424299)"
0,bike,1,4,-1,1,983,1.085460,0.079730,-111.929080,33.424299,"LINESTRING (-111.929080 33.424299,-111.928247 33.424466)"
0,walk,1,4,-1,1,983,1.085460,0.079730,-111.929080,33.424299,"LINESTRING (-111.929080 33.424299,-111.928247 33.424466)"
1,bike,1,4,-1,1,983,1.085460,0.079730,-111.929080,33.424299,"LINESTRING (-111.929080 33.424299,-111.928247 33.424466)"
