link_id,link_no,layer_no,from_node_id,to_node_id,from_gate_flag,to_gate_flag,link_type,link_type_name,link_type_code,lanes,link_distance_VDF,free_speed,cutoff_speed,fftt,capacity,allow_uses,BPR_plf,BPR_alpha,BPR_beta,QVDF_plf1,QVDF_alpha1,QVDF_beta1,QVDF_cd1,QVDF_n1,QVDF_s1,geometry
0,0,0,0,1,-1,-1,3,primary,primary,3.000000,0.086740,60.000000,51.000000,0.086740,1800.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,4.000000,"LINESTRING (-111.9262877 33.4312176, -111.9262851 33.4320000)",
1,1,0,1,0,-1,-1,3,primary,primary,3.000000,0.086740,60.000000,51.000000,0.086740,1800.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,4.000000,"LINESTRING (-111.9262851 33.4320000, -111.9262877 33.4312176)",
2,2,0,2,3,-1,-1,6,residential,residential,1.000000,0.056820,60.000000,51.000000,0.056820,1000.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,4.000000,"LINESTRING (-111.9303126 33.4236793, -111.9302974 33.4237487, -111.9302893 33.4237753, -111.9302809 33.4238008, -111.9302683 33.4238287, -111.9302531 33.4238532, -111.9302353 33.4238761, -111.9302153 33.4238971, -111.9301901 33.4239166, -111.9301629 33.4239344, -111.9301342 33.4239491, -111.9301050 33.4239619, -111.9300750 33.4239741, -111.9299266 33.4240263)",
3,3,0,3,2,-1,-1,6,residential,residential,1.000000,0.056820,60.000000,51.000000,0.056820,1000.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,4.000000,"LINESTRING (-111.9299266 33.4240263, -111.9300750 33.4239741, -111.9301050 33.4239619, -111.9301342 33.4239491, -111.9301629 33.4239344, -111.9301901 33.4239166, -111.9302153 33.4238971, -111.9302353 33.4238761, -111.9302531 33.4238532, -111.9302683 33.4238287, -111.9302809 33.4238008, -111.9302893 33.4237753, -111.9302974 33.4237487, -111.9303126 33.4236793)",
4,4,0,3,4,-1,-1,6,residential,residential,1.000000,0.084340,60.000000,51.000000,0.084340,1000.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,4.000000,"LINESTRING (-111.9299266 33.4240263, -111.9292474 33.4242503, -111.9290798 33.4242989)",
5,5,0,4,3,-1,-1,6,residential,residential,1.000000,0.084340,60.000000,51.000000,0.084340,1000.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,4.000000,"LINESTRING (-111.9290798 33.4242989, -111.9292474 33.4242503, -111.9299266 33.4240263)",
6,6,0,5,6,-1,-1,6,residential,residential,1.000000,0.013950,60.000000,51.000000,0.013950,1000.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,4.000000,"LINESTRING (-111.9403000 33.4243435, -111.9401499 33.4243445)",
7,7,0,6,5,-1,-1,6,residential,residential,1.000000,0.013950,60.000000,51.000000,0.013950,1000.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,4.000000,"LINESTRING (-111.9401499 33.4243445, -111.9403000 33.4243435)",
8,8,0,6,7,-1,-1,6,residential,residential,1.000000,0.007340,60.000000,51.000000,0.007340,1000.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,4.000000,"LINESTRING (-111.9401499 33.4243445, -111.9400710 33.4243450)",
9,9,0,7,6,-1,-1,6,residential,residential,1.000000,0.007340,60.000000,51.000000,0.007340,1000.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,4.000000,"LINESTRING (-111.9400710 33.4243450, -111.9401499 33.4243445)",
10,10,0,8,9,-1,-1,6,residential,residential,1.000000,0.008580,60.000000,51.000000,0.008580,1000.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,4.000000,"LINESTRING (-111.9376334 33.4243567, -111.9375411 33.4243581)",
11,11,0,9,8,-1,-1,6,residential,residential,1.000000,0.008580,60.000000,51.000000,0.008580,1000.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,4.000000,"LINESTRING (-111.9375411 33.4243581, -111.9376334 33.4243567)",
12,12,0,9,10,-1,-1,6,residential,residential,1.000000,0.017010,60.000000,51.000000,0.017010,1000.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,4.000000,"LINESTRING (-111.9375411 33.4243581, -111.9373581 33.4243583)",
13,13,0,10,9,-1,-1,6,residential,residential,1.000000,0.017010,60.000000,51.000000,0.017010,1000.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,4.000000,"LINESTRING (-111.9373581 33.4243583, -111.9375411 33.4243581)",
14,14,0,10,11,-1,-1,6,residential,residential,1.000000,0.055860,60.000000,51.000000,0.055860,1000.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,4.000000,"LINESTRING (-111.9373581 33.4243583, -111.9367572 33.4243590)",
15,15,0,11,10,-1,-1,6,residential,residential,1.000000,0.055860,60.000000,51.000000,0.055860,1000.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,4.000000,"LINESTRING (-111.9367572 33.4243590, -111.9373581 33.4243583)",
16,16,0,11,12,-1,-1,6,residential,residential,1.000000,0.008480,60.000000,51.000000,0.008480,1000.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,4.000000,"LINESTRING (-111.9367572 33.4243590, -111.9366660 33.4243591)",
17,17,0,12,11,-1,-1,6,residential,residential,1.000000,0.008480,60.000000,51.000000,0.008480,1000.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,4.000000,"LINESTRING (-111.9366660 33.4243591, -111.9367572 33.4243590)",
18,18,0,12,13,-1,-1,6,residential,residential,1.000000,0.009230,60.000000,51.000000,0.009230,1000.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,4.000000,"LINESTRING (-111.9366660 33.4243591, -111.9365667 33.4243587)",
19,19,0,13,12,-1,-1,6,residential,residential,1.000000,0.009230,60.000000,51.000000,0.009230,1000.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,4.000000,"LINESTRING (-111.9365667 33.4243587, -111.9366660 33.4243591)",
20,20,0,13,14,-1,-1,6,residential,residential,1.000000,0.030950,60.000000,51.000000,0.030950,1000.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,4.000000,"LINESTRING (-111.9365667 33.4243587, -111.9362338 33.4243617)",
21,21,0,14,13,-1,-1,6,residential,residential,1.000000,0.030950,60.000000,51.000000,0.030950,1000.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,4.000000,"LINESTRING (-111.9362338 33.4243617, -111.9365667 33.4243587)",
22,22,0,14,15,-1,-1,6,residential,residential,1.000000,0.036070,60.000000,51.000000,0.036070,1000.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,4.000000,"LINESTRING (-111.9362338 33.4243617, -111.9358458 33.4243666)",
23,23,0,15,14,-1,-1,6,residential,residential,1.000000,0.036070,60.000000,51.000000,0.036070,1000.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,4.000000,"LINESTRING (-111.9358458 33.4243666, -111.9362338 33.4243617)",
24,24,0,15,16,-1,-1,6,residential,residential,1.000000,0.031520,60.000000,51.000000,0.031520,1000.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,4.000000,"LINESTRING (-111.9358458 33.4243666, -111.9356716 33.4243667, -111.9355070 33.4243584)",
25,25,0,16,15,-1,-1,6,residential,residential,1.000000,0.031520,60.000000,51.000000,0.031520,1000.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,4.000000,"LINESTRING (-111.9355070 33.4243584, -111.9356716 33.4243667, -111.9358458 33.4243666)",
26,26,0,16,17,-1,-1,6,residential,residential,1.000000,0.010650,60.000000,51.000000,0.010650,1000.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,4.000000,"LINESTRING (-111.9355070 33.4243584, -111.9353940 33.4243427)",
27,27,0,17,16,-1,-1,6,residential,residential,1.000000,0.010650,60.000000,51.000000,0.010650,1000.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,4.000000,"LINESTRING (-111.9353940 33.4243427, -111.9355070 33.4243584)",
28,28,0,17,18,-1,-1,6,residential,residential,1.000000,0.027460,60.000000,51.000000,0.027460,1000.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,4.000000,"LINESTRING (-111.9353940 33.4243427, -111.9352904 33.4243346, -111.9351644 33.4243302, -111.9350992 33.4243313)",
29,29,0,18,17,-1,-1,6,residential,residential,1.000000,0.027460,60.000000,51.000000,0.027460,1000.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,4.000000,"LINESTRING (-111.9350992 33.4243313, -111.9351644 33.4243302, -111.9352904 33.4243346, -111.9353940 33.4243427)",
30,30,0,18,19,-1,-1,6,residential,residential,1.000000,0.010910,60.000000,51.000000,0.010910,1000.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,4.000000,"LINESTRING (-111.9350992 33.4243313, -111.9349819 33.4243327)",
31,31,0,19,18,-1,-1,6,residential,residential,1.000000,0.010910,60.000000,51.000000,0.010910,1000.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,4.000000,"LINESTRING (-111.9349819 33.4243327, -111.9350992 33.4243313)",
32,32,0,20,21,-1,-1,3,primary,primary,2.000000,0.073590,60.000000,51.000000,0.073590,1800.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,4.000000,"LINESTRING (-111.9389443 33.4152954, -111.9388211 33.4152092, -111.9386707 33.4151129, -111.9382922 33.4149218)",
33,33,0,21,22,-1,-1,3,primary,primary,2.000000,0.091570,60.000000,51.000000,0.091570,1800.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,4.000000,"LINESTRING (-111.9382922 33.4149218, -111.9381040 33.4148441, -111.9378250 33.4147525, -111.9375837 33.4146896, -111.9373669 33.4146466)",
34,34,0,22,23,-1,-1,3,primary,primary,2.000000,0.032390,60.000000,51.000000,0.032390,1800.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,4.000000,"LINESTRING (-111.9373669 33.4146466, -111.9370926 33.4146142, -111.9370216 33.4146084)",
35,35,0,24,25,-1,-1,6,residential,residential,1.000000,0.006970,60.000000,51.000000,0.006970,1000.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,4.000000,"LINESTRING (-111.9400770 33.4264624, -111.9401520 33.4264630)",
36,36,0,25,24,-1,-1,6,residential,residential,1.000000,0.006970,60.000000,51.000000,0.006970,1000.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,4.000000,"LINESTRING (-111.9401520 33.4264630, -111.9400770 33.4264624)",
37,37,0,25,26,-1,-1,6,residential,residential,1.000000,0.013760,60.000000,51.000000,0.013760,1000.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,4.000000,"LINESTRING (-111.9401520 33.4264630, -111.9403000 33.4264642)",
38,38,0,26,25,-1,-1,6,residential,residential,1.000000,0.013760,60.000000,51.000000,0.013760,1000.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,4.000000,"LINESTRING (-111.9403000 33.4264642, -111.9401520 33.4264630)",
39,39,0,27,28,-1,-1,3,primary,primary,3.000000,0.016460,60.000000,51.000000,0.016460,1800.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,4.000000,"LINESTRING (-111.9400858 33.4219347, -111.9400890 33.4218868, -111.9400996 33.4218187, -111.9401025 33.4217870)",
40,40,0,28,29,-1,-1,3,primary,primary,3.000000,0.058230,60.000000,51.000000,0.058230,1800.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,4.000000,"LINESTRING (-111.9401025 33.4217870, -111.9401020 33.4215259, -111.9400799 33.4212624)",
41,41,0,29,30,-1,-1,3,primary,primary,3.000000,0.027970,60.000000,51.000000,0.027970,1800.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,4.000000,"LINESTRING (-111.9400799 33.4212624, -111.9400696 33.4210103)",
42,42,0,31,32,-1,-1,6,residential,residential,1.000000,0.006470,60.000000,51.000000,0.006470,1000.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,4.000000,"LINESTRING (-111.9400380 33.4190663, -111.9401076 33.4190658)",
43,43,0,32,31,-1,-1,6,residential,residential,1.000000,0.006470,60.000000,51.000000,0.006470,1000.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,4.000000,"LINESTRING (-111.9401076 33.4190658, -111.9400380 33.4190663)",
44,44,0,32,33,-1,-1,6,residential,residential,1.000000,0.017890,60.000000,51.000000,0.017890,1000.000000,,1.000000,0.150000,4.000000,1.000000,0.272877,4.000000,0.954946,1.141574,4.000000,"LINESTRING (-111.9401076 33.4190658, -111.9401698 33.4190650, -111.9403000 33.4190633)",
