node_id,node_no,layer_no,MRM_gate_flag,node_type,is_boundary,#_of_outgoing_nodes,activity_node_flag,mode_type,zone_id,cell_code,info_zone_flag,x_coord,y_coord
0,0,0,-1,,0,2,0,, -1,,0,-111.926288,33.431218
1,1,0,-1,,2,2,1,, 1,,0,-111.926285,33.432000
2,2,0,-1,,0,2,0,, -1,,0,-111.930313,33.423679
3,3,0,-1,,0,3,0,, -1,,0,-111.929927,33.424026
4,4,0,-1,,0,4,0,, -1,,0,-111.929080,33.424299
5,5,0,-1,,2,2,1,, 5,,0,-111.940300,33.424343
6,6,0,-1,,0,3,0,, -1,,0,-111.940150,33.424344
7,7,0,-1,,0,3,0,, -1,,0,-111.940071,33.424345
8,8,0,-1,,0,2,0,, -1,,0,-111.937633,33.424357
9,9,0,-1,,0,3,0,, -1,,0,-111.937541,33.424358
10,10,0,-1,,0,3,0,, -1,,0,-111.937358,33.424358
11,11,0,-1,,0,3,0,, -1,,0,-111.936757,33.424359
12,12,0,-1,,0,4,0,, -1,,0,-111.936666,33.424359
13,13,0,-1,,0,3,0,, -1,,0,-111.936567,33.424359
14,14,0,-1,,0,3,0,, -1,,0,-111.936234,33.424362
15,15,0,-1,,0,3,0,, -1,,0,-111.935846,33.424367
16,16,0,-1,,0,3,0,, -1,,0,-111.935507,33.424358
17,17,0,-1,,0,3,0,, -1,,0,-111.935394,33.424343
18,18,0,-1,,0,3,0,, -1,,0,-111.935099,33.424331
19,19,0,-1,,0,4,0,, -1,,0,-111.934982,33.424333
20,20,0,-1,,0,1,0,, -1,,0,-111.938944,33.415295
21,21,0,-1,,0,2,0,, -1,,0,-111.938292,33.414922
22,22,0,-1,,0,1,0,, -1,,0,-111.937367,33.414647
23,23,0,-1,,0,1,0,, -1,,0,-111.937022,33.414608
24,24,0,-1,,0,2,0,, -1,,0,-111.940077,33.426462
25,25,0,-1,,0,3,0,, -1,,0,-111.940152,33.426463
26,26,0,-1,,2,2,1,, 26,,0,-111.940300,33.426464
27,27,0,-1,,0,3,0,, -1,,0,-111.940086,33.421935
28,28,0,-1,,0,3,0,, -1,,0,-111.940102,33.421787
29,29,0,-1,,0,2,0,, -1,,0,-111.940080,33.421262
30,30,0,-1,,0,1,0,, -1,,0,-111.940070,33.421010
31,31,0,-1,,0,3,0,, -1,,0,-111.940038,33.419066
32,32,0,-1,,0,3,0,, -1,,0,-111.940108,33.419066
33,33,0,-1,,0,2,0,, -1,,0,-111.940300,33.419063
34,34,0,-1,,0,3,0,, -1,,0,-111.936661,33.421909
35,35,0,-1,,0,2,0,, -1,,0,-111.936563,33.421908
36,36,0,-1,,0,2,0,, -1,,0,-111.935845,33.421912
37,37,0,-1,,0,1,0,, -1,,0,-111.935654,33.421910
38,38,0,-1,,0,2,0,, -1,,0,-111.935063,33.421916
