name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,0,41517309,,,,,primary,0,-111.9262877,33.4312176,,,
,1,,,1,,,primary,2,-111.9262851,33.432,,,boundary node created by osm2gmns
,2,6106985023,,,,,residential,0,-111.9303126,33.4236793,,,
,3,8452116614,,,,,residential,0,-111.9299266,33.4240263,,,
,4,41529697,,,,,residential,0,-111.9290798,33.4242989,,,
,5,,,5,,,residential,2,-111.9403,33.4243435,,,boundary node created by osm2gmns
,6,9934553147,,,,,residential,0,-111.9401499,33.4243445,,,
,7,41529740,traffic_signals,,signal,,residential,0,-111.940071,33.424345,,,
,8,2626664037,,,,,residential,0,-111.9376334,33.4243567,,,
,9,6700916759,,,,,residential,0,-111.9375411,33.4243581,,,
,10,6700916754,,,,,residential,0,-111.9373581,33.4243583,,,
,11,5415311336,,,,,residential,0,-111.9367572,33.424359,,,
,12,41529813,,,,,residential,0,-111.936666,33.4243591,,,
,13,5415311335,,,,,residential,0,-111.9365667,33.4243587,,,
,14,5266139528,,,,,residential,0,-111.9362338,33.4243617,,,
,15,7071845839,,,,,residential,0,-111.9358458,33.4243666,,,
,16,5266139534,,,,,residential,0,-111.935507,33.4243584,,,
,17,7121895053,,,,,residential,0,-111.935394,33.4243427,,,
,18,5300090339,,,,,residential,0,-111.9350992,33.4243313,,,
,19,316007232,traffic_signals,,signal,,tertiary,0,-111.9349819,33.4243327,,,
,20,316007299,,,,,primary,0,-111.9389443,33.4152954,,,
,21,316870046,,,,,primary,0,-111.9382922,33.4149218,,,
,22,41624258,,,,,primary,0,-111.9373669,33.4146466,,,
,23,4346575408,,,,,primary,0,-111.9370216,33.4146084,,,
,24,41630200,traffic_signals,,signal,,primary,0,-111.940077,33.4264624,,,
,25,9928143613,,,,,residential,0,-111.940152,33.426463,,,
,26,,,26,,,residential,2,-111.9403,33.4264642,,,boundary node created by osm2gmns
,27,41662590,traffic_signals,,signal,,primary,0,-111.9400858,33.4219347,,,
,28,2239876816,crossing,,,,primary,0,-111.9401025,33.421787,,,
,29,6672805083,,,,,primary,0,-111.9400799,33.4212624,,,
,30,9643219691,,,,,primary,0,-111.9400696,33.4210103,,,
,31,1698683826,traffic_signals,,signal,,residential,0,-111.940038,33.4190663,,,
,32,2239876796,crossing,,,,residential,0,-111.9401076,33.4190658,,,
,33,,,,,,residential,0,-111.9403,33.4190633,,,boundary node created by osm2gmns
,34,41714336,traffic_signals,,signal,,residential,0,-111.936661,33.4219091,,,
,35,2488540196,,,,,secondary,0,-111.936563,33.4219081,,,
,36,5260151499,,,,,secondary,0,-111.9358451,33.4219117,,,
,37,5260151502,,,,,secondary,0,-111.9356538,33.4219104,,,
,38,2488540193,,,,,secondary,0,-111.9350625,33.4219162,,,
,39,8269005072,traffic_signals,,signal,,secondary,0,-111.934969,33.4219161,,,
,40,2625359019,,,,,service,0,-111.939526,33.4273825,,,
,41,5266179144,,,,,unclassified,0,-111.9397193,33.4273841,,,
,42,2941419932,crossing,,,,unclassified,0,-111.9398571,33.4273837,,,
,43,2625359021,traffic_signals,,signal,,unclassified,0,-111.9399672,33.4273845,,,
,44,337713512,,,,,tertiary,0,-111.9394151,33.4255071,,,
,45,5345624069,,,,,tertiary,0,-111.939287,33.4255037,,,
,46,5345624072,,,,,tertiary,0,-111.939042,33.4255044,,,
,47,5266180470,,,,,tertiary,0,-111.938837,33.425505,,,
,48,6700916820,crossing,,,,tertiary,0,-111.938274,33.4255065,,,
,49,2626664040,,,,,tertiary,0,-111.938166,33.4255068,,,
,50,10741122923,,,,,tertiary,0,-111.9372279,33.4255094,,,
,51,10290615120,,,,,tertiary,0,-111.937086,33.4255098,,,
,52,3101274975,crossing,,,,tertiary,0,-111.936771,33.4255107,,,
,53,41746580,,,,,tertiary,0,-111.9366724,33.425511,,,
,54,5201685464,,,,,tertiary,0,-111.9288523,33.4180544,,,
,55,316008131,,,,,tertiary,0,-111.9289101,33.4173761,,,
,56,41654675,,,,,tertiary,0,-111.929412,33.4166399,,,
,57,5266149007,crossing,,,,unclassified,0,-111.9291226,33.424385,,,
,58,316008720,,,,,unclassified,0,-111.9292203,33.4246475,,,
,59,316008721,,,,,unclassified,0,-111.929244,33.4248062,,,
,60,5266148987,,,,,unclassified,0,-111.9292506,33.4248952,,,
,61,316008467,,,,,unclassified,0,-111.9292543,33.4249537,,,
,62,10567828155,,,,,unclassified,0,-111.9292564,33.4252977,,,
,63,10567828152,,,,,unclassified,0,-111.9292588,33.4256477,,,
,64,10567828147,,,,,unclassified,0,-111.9292613,33.4260085,,,
,65,8444583953,crossing,,,,unclassified,0,-111.929262,33.426115,,,
,66,10641033637,,,,,unclassified,0,-111.9292627,33.4261516,,,
,67,10567828150,,,,,unclassified,0,-111.9292732,33.4267326,,,
,68,5682163126,,,,,unclassified,0,-111.929284,33.4273261,,,
,69,5264768515,,,,,unclassified,0,-111.9292893,33.4279802,,,
,70,5280081938,crossing,,,,unclassified,0,-111.9293056,33.4285499,,,
,71,41736777,traffic_signals,,signal,,unclassified,0,-111.929306,33.4286668,,,
,72,41573985,,,,,tertiary,0,-111.9262379,33.4209763,,,
,73,2916726362,crossing,,,,tertiary,0,-111.9261191,33.4209521,,,
,74,,,74,,,tertiary,2,-111.9261,33.420948,,,boundary node created by osm2gmns
,75,5333539971,,,,,residential,0,-111.9366324,33.4174773,,,
,76,1698683809,,,,,residential,0,-111.9366283,33.4173869,,,
,77,3468590595,,,,,residential,0,-111.936616,33.4164391,,,
,78,2819203908,crossing,,,,residential,0,-111.9366156,33.4162727,,,
,79,10270682090,,,,,residential,0,-111.936615,33.416205,,,
,80,2819203905,crossing,,,,residential,0,-111.9366127,33.4161377,,,
,81,5414896284,,,,,residential,0,-111.936606,33.4154179,,,
,82,863737649,,,,,residential,0,-111.9366028,33.4150954,,,
,83,1698683562,,,,,residential,0,-111.9366013,33.4149437,,,
,84,5333540340,,,,,residential,0,-111.9365974,33.4148035,,,
,85,330683946,traffic_signals,,signal,,residential,0,-111.9365984,33.414741,,,
,86,,,86,,,residential,2,-111.9370825,33.4144,,,boundary node created by osm2gmns
,87,316880529,,,,,residential,0,-111.9370852,33.4145236,,,
,88,41995466,,,,,residential,0,-111.9381322,33.4190867,,,
,89,8444439630,,,,,residential,0,-111.9385248,33.4190744,,,
,90,5260253703,,,,,residential,0,-111.9394786,33.4190668,,,
,91,2239876799,,,,,residential,0,-111.939803,33.4190672,,,
,92,2625359006,traffic_signals,,signal,,residential,0,-111.9398533,33.4190667,,,
,93,2065989266,traffic_signals,,signal,,residential,0,-111.9381506,33.4218987,,,
,94,2239876822,,,,,residential,0,-111.938149,33.4218417,,,
,95,6088069155,,,,,residential,0,-111.938141,33.4212157,,,
,96,3712803330,,,,,residential,0,-111.938132,33.4205154,,,
,97,10290082370,,,,,residential,0,-111.9381258,33.4202962,,,
,98,5264800451,,,,,residential,0,-111.9381248,33.4202238,,,
,99,10290082373,,,,,residential,0,-111.9381226,33.4201018,,,
,100,8447095244,crossing,,,,residential,0,-111.9381211,33.4199626,,,
,101,7121961126,,,,,residential,0,-111.9381172,33.4196844,,,
,102,5333540359,,,,,residential,0,-111.9381214,33.419134,,,
,103,10647888710,,,,,tertiary,0,-111.9349858,33.4250908,,,
,104,5300090335,,,,,tertiary,0,-111.9349821,33.4243872,,,
,105,5300090341,,,,,tertiary,0,-111.934981,33.4242678,,,
,106,5402920860,,,,,tertiary,0,-111.9349897,33.423492,,,
,107,5300090345,,,,,tertiary,0,-111.9349904,33.42338,,,
,108,5402920869,,,,,tertiary,0,-111.9349907,33.423297,,,
,109,42304472,,,,,tertiary,0,-111.9349769,33.423206,,,
,110,5300090349,,,,,tertiary,0,-111.9349755,33.4231541,,,
,111,5300092740,,,,,tertiary,0,-111.9349706,33.4226097,,,
,112,9403670165,,,,,tertiary,0,-111.9349677,33.4220796,,,
,113,41714339,traffic_signals,,signal,,tertiary,0,-111.934969,33.4220021,,,
,114,41662598,,,,,residential,0,-111.939981,33.4162084,,,
,115,,,,,,residential,0,-111.9403,33.4162033,,,boundary node created by osm2gmns
,116,1698683701,,,,,service,0,-111.9370673,33.4162376,,,
,117,1698683692,,,,,service,0,-111.9370018,33.4162264,,,
,118,2819203907,crossing,,,,service,0,-111.9367087,33.41621,,,
,119,41800245,,,,,tertiary,0,-111.9289334,33.4202593,,,
,120,2341521994,crossing,,,,residential,0,-111.928812,33.4202592,,,
,121,5414658106,crossing,,,,residential,0,-111.928021,33.4202698,,,
,122,5414658105,,,,,residential,0,-111.9278824,33.4202775,,,
