od_seq_id,o_zone_id,d_zone_id,o_sindex,d_sindex,o_district_id,d_district_id,mode_type,demand_period,connectivity_flag,s_x_coord,s_y_coord,t_x_coord,t_y_coord,volume_s0,avg_tt_s0,avg_distance_km_s0,avg_cost_s0,
1,1,74,0,3,0,0,walk,am,0,-111.926285,33.432000,-111.926100,33.420948,3.47,1.33,1.33,0.00,
1,1,74,0,3,0,0,bike,am,0,-111.926285,33.432000,-111.926100,33.420948,3.47,1.33,1.33,0.00,
1,1,86,0,4,0,0,walk,am,0,-111.926285,33.432000,-111.937083,33.414400,42.64,3.37,3.37,0.00,
1,1,86,0,4,0,0,bike,am,0,-111.926285,33.432000,-111.937083,33.414400,42.64,3.38,3.38,0.00,
1,74,1,3,0,0,0,walk,am,0,-111.926100,33.420948,-111.926285,33.432000,3.69,1.24,1.24,0.00,
1,74,1,3,0,0,0,bike,am,0,-111.926100,33.420948,-111.926285,33.432000,3.69,1.24,1.24,0.00,
1,74,86,3,4,0,0,walk,am,0,-111.926100,33.420948,-111.937083,33.414400,15.55,2.41,2.41,0.00,
1,74,86,3,4,0,0,bike,am,0,-111.926100,33.420948,-111.937083,33.414400,15.55,2.42,2.42,0.00,
1,86,1,4,0,0,0,walk,am,0,-111.937083,33.414400,-111.926285,33.432000,46.14,2.77,2.77,0.00,
1,86,1,4,0,0,0,bike,am,0,-111.937083,33.414400,-111.926285,33.432000,46.14,3.22,3.22,0.00,
1,86,74,4,3,0,0,walk,am,0,-111.937083,33.414400,-111.926100,33.420948,15.84,1.56,1.56,0.00,
1,86,74,4,3,0,0,bike,am,0,-111.937083,33.414400,-111.926100,33.420948,15.84,2.01,2.01,0.00,
