link_seq_id,link_id,vdf_type,from_node_id,to_node_id,lanes,distance_km,distance_mile,fftt,meso_link_id,meso_link_incoming_volume,tmc,tmc_corridor_name,tmc_corridor_id,tmc_road_order,tmc_road_sequence,subarea_id,link_type,link_type_code,vdf_code,time_period,volume,ref_volume,ref_diff,restricted_turn_nodes,auto_turn_volume,ODME_volume_before,ODME_volume_after,ODME_volume_diff,ODME_obs_count,ODME_upperbound_capacity_type,ODME_obs_count_dev,preload_volume,mode_type_volume,travel_time,speed_kmph,speed_mph,speed_ratio,VOC,DOC,lane_capacity,link_capacity,queue,total_simu_waiting_time_in_min,avg_simu_waiting_time_in_min,plf,lanes,D_per_hour_per_lane,QVDF_cd,QVDF_n,P,severe_congestion_duration_in_h,vf,v_congestion_cutoff,QVDF_cp,QVDF_s,QVDF_v,vt2,VMT,VHT,PMT,PHT,PDT_vf,PDT_vc,geometry,moving_agent_vol_auto,moving_agent_vol_walk,moving_agent_vol_bike,moving_agent_vol_bus,moving_agent_vol_truck,moving_agent_vol_cav,moving_agent_vol_ev,moving_agent_vol_hov,MEU_vol_auto,MEU_vol_walk,MEU_vol_bike,MEU_vol_bus,MEU_vol_truck,MEU_vol_cav,MEU_vol_ev,MEU_vol_hov,mode_link_cap_auto,mode_link_cap_walk,mode_link_cap_bike,mode_link_cap_bus,mode_link_cap_truck,mode_link_cap_cav,mode_link_cap_ev,mode_link_cap_hov,mode_DOC_auto,mode_DOC_walk,mode_DOC_bike,mode_DOC_bus,mode_DOC_truck,mode_DOC_cav,mode_DOC_ev,mode_DOC_hov,mode_TT_auto,mode_TT_walk,mode_TT_bike,mode_TT_bus,mode_TT_truck,mode_TT_cav,mode_TT_ev,mode_TT_hov,v06:00,v06:15,v06:30,v06:45,v07:00,v07:15,v07:30,v07:45,v08:00,v08:15,v08:30,v08:45,v09:00,v09:15,v09:30,v09:45,v10:00,v10:15,v10:30,v10:45,v11:00,v11:15,v11:30,v11:45,v12:00,v12:15,v12:30,v12:45,v13:00,v13:15,v13:30,v13:45,v14:00,v14:15,v14:30,v14:45,v15:00,v15:15,v15:30,v15:45,v16:00,v16:15,v16:30,v16:45,v17:00,v17:15,v17:30,v17:45,v18:00,v18:15,v18:30,v18:45,v19:00,v19:15,v19:30,v19:45,DTM_type,DTM_volume_before,DTM_volume_after,DTM_volume_diff,DTM_speed_before,DTM_speed_after,DTM_speed_diff,DTM_DoC_before,DTM_DoC_after,DTM_Doc_diff,DTM_P_before,DTM_P_after,DTM_P_diff,notes
1,1,bpr,1,2,1.000000,6.000000,3.729024,6.000000,-1,0,,network_wide,-1,0,-1,-1,1,,,0700_0800,4509.358,-1.000,0.000,,6:3234;,0.000,0.000,0.000,,,,0.000,4509.358,6.001,59.992,37.285,1.000,0.174,0.174,25900.201,25900.201,0.000,0.000,0.000,1.000,1.000,4509.358,0.955,1.142,0.001,0.000,60.000,51.000,0.400,4.000,59.973,51.000,16815.506,450.998,16815.506,450.998,0.062,0.000,"LINESTRING (-96.770451 43.612565, -96.711282 43.605550)",4509.358,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4509.358,0.000,0.000,0.000,0.000,0.000,0.000,0.000,25900.201,1999.000,1999.000,1999.000,2000.000,2000.000,2000.000,2000.000,0.174105,0.000000,0.000000,0.000000,0.174105,0.174105,0.174105,0.174105,6.001,999900.000,999900.000,999900.000,6.001,6.001,6.001,6.001,60.000,60.000,60.000,60.000,59.995,59.982,56.986,59.991,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,4509.358,4509.358,0.000,59.992,59.992,0.000,0.174,0.174,0.000,0.001,0.001,0.000,period-based
2,2,bpr,1,3,1.000000,4.000000,2.486016,4.000000,-1,0,,network_wide,-1,0,-1,-1,1,,,0700_0800,8140.423,-1.000,0.000,,4:5177;12:2588;,0.000,0.000,0.000,,,,0.000,8140.423,4.009,59.869,37.209,0.998,0.348,0.348,23403.473,23403.473,0.000,0.000,0.000,1.000,1.000,8140.423,0.955,1.142,0.014,0.000,60.000,51.000,0.400,4.000,59.566,51.000,20237.223,543.886,20237.223,543.886,1.192,0.000,"LINESTRING (-96.770683 43.612854, -96.774567 43.572987)",8140.423,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8140.423,0.000,0.000,0.000,0.000,0.000,0.000,0.000,23403.473,1999.000,1999.000,1999.000,2000.000,2000.000,2000.000,2000.000,0.347830,0.000000,0.000000,0.000000,0.347830,0.347830,0.347830,0.347830,4.009,999900.000,999900.000,999900.000,4.009,4.009,4.009,4.009,60.000,60.000,60.000,60.000,59.927,59.707,56.780,59.853,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,8140.423,8140.423,0.000,59.869,59.869,0.000,0.348,0.348,0.000,0.014,0.014,0.000,period-based
3,3,bpr,2,1,1.000000,6.000000,3.729024,6.000000,-1,0,,network_wide,-1,0,-1,-1,1,,,0700_0800,4540.423,-1.000,0.000,,3:1940;,0.000,0.000,0.000,,,,0.000,4540.423,6.001,59.992,37.285,1.000,0.175,0.175,25900.201,25900.201,0.000,0.000,0.000,1.000,1.000,4540.423,0.955,1.142,0.001,0.000,60.000,51.000,0.400,4.000,59.972,51.000,16931.348,454.107,16931.348,454.107,0.064,0.000,"LINESTRING (-96.711219 43.606076, -96.770389 43.613091)",4540.423,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4540.423,0.000,0.000,0.000,0.000,0.000,0.000,0.000,25900.201,1999.000,1999.000,1999.000,2000.000,2000.000,2000.000,2000.000,0.175305,0.000000,0.000000,0.000000,0.175305,0.175305,0.175305,0.175305,6.001,999900.000,999900.000,999900.000,6.001,6.001,6.001,6.001,60.000,60.000,60.000,60.000,59.995,59.981,56.986,59.991,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,4540.423,4540.423,0.000,59.992,59.992,0.000,0.175,0.175,0.000,0.001,0.001,0.000,period-based
4,4,bpr,2,6,1.000000,5.000000,3.107520,5.000000,-1,0,,network_wide,-1,0,-1,-1,1,,,0700_0800,5957.661,-1.000,0.000,,5:822;8:4215;,0.000,0.000,0.000,,,,0.000,5957.661,6.563,45.708,28.408,0.762,1.202,1.202,4958.181,4958.181,0.000,0.000,0.000,1.000,1.000,5957.661,0.955,1.142,1.178,0.250,60.000,51.000,0.400,4.000,32.508,28.820,18513.551,651.710,18513.551,651.710,155.238,67.626,"LINESTRING (-96.711515 43.605819, -96.711909 43.587591)",5957.661,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5957.661,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4958.181,1999.000,1999.000,1999.000,2000.000,2000.000,2000.000,2000.000,1.201582,0.000000,0.000000,0.000000,1.201582,1.201582,1.201582,1.201582,6.563,999900.000,999900.000,999900.000,6.563,6.563,6.563,6.563,60.000,60.000,60.000,60.000,42.846,31.276,29.678,38.012,56.039,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,5957.661,5957.661,0.000,45.708,45.708,0.000,1.202,1.202,0.000,1.178,1.178,0.000,period-based
5,5,bpr,3,1,1.000000,4.000000,2.486016,4.000000,-1,0,,network_wide,-1,0,-1,-1,1,,,0700_0800,8109.358,-1.000,0.000,,2:1909;,0.000,0.000,0.000,,,,0.000,8109.358,4.009,59.871,37.210,0.998,0.347,0.347,23403.473,23403.473,0.000,0.000,0.000,1.000,1.000,8109.358,0.955,1.142,0.014,0.000,60.000,51.000,0.400,4.000,59.573,51.000,20159.996,541.793,20159.996,541.793,1.169,0.000,"LINESTRING (-96.774040 43.572936, -96.770156 43.612802)",8109.358,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8109.358,0.000,0.000,0.000,0.000,0.000,0.000,0.000,23403.473,1999.000,1999.000,1999.000,2000.000,2000.000,2000.000,2000.000,0.346502,0.000000,0.000000,0.000000,0.346502,0.346502,0.346502,0.346502,4.009,999900.000,999900.000,999900.000,4.009,4.009,4.009,4.009,60.000,60.000,60.000,60.000,59.928,59.711,56.783,59.856,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,8109.358,8109.358,0.000,59.871,59.871,0.000,0.347,0.347,0.000,0.014,0.014,0.000,period-based
6,6,bpr,3,4,1.000000,4.000000,2.486016,4.000000,-1,0,,network_wide,-1,0,-1,-1,1,,,0700_0800,14073.838,-1.000,0.000,,5:10073;11:1500;,0.000,0.000,0.000,,,,0.000,14073.838,4.275,56.145,34.894,0.936,0.823,0.823,17110.524,17110.524,0.000,0.000,0.000,1.000,1.000,14073.838,0.955,1.142,0.437,0.000,60.000,51.000,0.400,4.000,48.871,50.266,34987.789,1002.674,34987.789,1002.674,64.418,0.000,"LINESTRING (-96.774389 43.572711, -96.747254 43.563403)",14073.838,0.000,0.000,0.000,0.000,0.000,0.000,0.000,14073.838,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17110.524,1999.000,1999.000,1999.000,2000.000,2000.000,2000.000,2000.000,0.822525,0.000000,0.000000,0.000000,0.822525,0.822525,0.822525,0.822525,4.275,999900.000,999900.000,999900.000,4.275,4.275,4.275,4.275,60.000,60.000,60.000,60.000,57.335,54.201,53.621,54.671,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,14073.838,14073.838,0.000,56.145,56.145,0.000,0.823,0.823,0.000,0.437,0.437,0.000,period-based
7,7,bpr,3,12,1.000000,4.000000,2.486016,4.000000,-1,0,,network_wide,-1,0,-1,-1,1,,,0700_0800,10074.694,-1.000,0.000,,11:0;13:5380;,0.000,0.000,0.000,,,,0.000,10074.694,4.021,59.693,37.099,0.995,0.430,0.430,23403.473,23403.473,0.000,0.000,0.000,1.000,1.000,10074.694,0.955,1.142,0.033,0.000,60.000,51.000,0.400,4.000,58.992,51.000,25045.854,675.106,25045.854,675.106,3.460,0.000,"LINESTRING (-96.774563 43.573014, -96.780396 43.543993)",10074.694,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10074.694,0.000,0.000,0.000,0.000,0.000,0.000,0.000,23403.473,1999.000,1999.000,1999.000,2000.000,2000.000,2000.000,2000.000,0.430479,0.000000,0.000000,0.000000,0.430479,0.430479,0.430479,0.430479,4.021,999900.000,999900.000,999900.000,4.021,4.021,4.021,4.021,60.000,60.000,60.000,60.000,59.826,59.305,56.479,59.653,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,10074.694,10074.694,0.000,59.693,59.693,0.000,0.430,0.430,0.000,0.033,0.033,0.000,period-based
8,8,bpr,4,3,1.000000,4.000000,2.486016,4.000000,-1,0,,network_wide,-1,0,-1,-1,1,,,0700_0800,14085.969,-1.000,0.000,,1:5174;12:6986;,0.000,0.000,0.000,,,,0.000,14085.969,4.276,56.133,34.887,0.936,0.823,0.823,17110.524,17110.524,0.000,0.000,0.000,1.000,1.000,14085.969,0.955,1.142,0.439,0.000,60.000,51.000,0.400,4.000,48.840,50.256,35017.945,1003.761,35017.945,1003.761,64.696,0.000,"LINESTRING (-96.747083 43.563904, -96.774217 43.573212)",14085.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,14085.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17110.524,1999.000,1999.000,1999.000,2000.000,2000.000,2000.000,2000.000,0.823234,0.000000,0.000000,0.000000,0.823234,0.823234,0.823234,0.823234,4.276,999900.000,999900.000,999900.000,4.276,4.276,4.276,4.276,60.000,60.000,60.000,60.000,57.328,54.173,53.597,54.656,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,14085.969,14085.969,0.000,56.133,56.133,0.000,0.823,0.823,0.000,0.439,0.439,0.000,period-based
9,9,bpr,4,5,1.000000,2.000000,1.243008,2.000000,-1,0,,network_wide,-1,0,-1,-1,1,,,0700_0800,18073.838,-1.000,0.000,,6:5369;9:10772;,0.000,0.000,0.000,,,,0.000,18073.838,2.320,51.721,32.145,0.862,1.016,1.016,17782.794,17782.794,0.000,0.000,0.000,1.000,1.000,18073.838,0.955,1.142,0.973,0.000,60.000,51.000,0.400,4.000,39.499,37.546,22465.926,698.893,22465.926,698.893,96.432,0.000,"LINESTRING (-96.747162 43.563389, -96.731563 43.563769)",18073.838,0.000,0.000,0.000,0.000,0.000,0.000,0.000,18073.838,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17782.794,1999.000,1999.000,1999.000,2000.000,2000.000,2000.000,2000.000,1.016367,0.000000,0.000000,0.000000,1.016367,1.016367,1.016367,1.016367,2.320,999900.000,999900.000,999900.000,2.320,2.320,2.320,2.320,60.000,60.000,60.000,60.000,52.023,40.238,38.515,46.260,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,18073.838,18073.838,0.000,51.721,51.721,0.000,1.016,1.016,0.000,0.973,0.973,0.000,period-based
10,10,bpr,4,11,1.000000,6.000000,3.729024,6.000000,-1,0,,network_wide,-1,0,-1,-1,1,,,0700_0800,5200.000,-1.000,0.000,,10:0;14:1900;,0.000,0.000,0.000,,,,0.000,5200.000,7.133,50.468,31.366,0.841,1.059,1.059,4908.827,4908.827,0.000,0.000,0.000,1.000,1.000,5200.000,0.955,1.142,1.020,0.000,60.000,51.000,0.400,4.000,37.957,35.593,19390.926,618.219,19390.926,618.219,98.219,6.455,"LINESTRING (-96.747433 43.563649, -96.747105 43.544126)",5200.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5200.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4908.827,1999.000,1999.000,1999.000,2000.000,2000.000,2000.000,2000.000,1.059316,0.000000,0.000000,0.000000,1.059316,1.059316,1.059316,1.059316,7.133,999900.000,999900.000,999900.000,7.133,7.133,7.133,7.133,60.000,60.000,60.000,60.000,48.100,38.295,36.557,44.713,56.989,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,5200.000,5200.000,0.000,50.468,50.468,0.000,1.059,1.059,0.000,1.020,1.020,0.000,period-based
