iteration_no,link_id,from_node_id,to_node_id,volume,travel_time
0,1,1,2,0,6
0,2,1,3,0,4
0,3,2,1,0,6
0,4,2,6,0,5
0,5,3,1,0,4
0,6,3,4,0,4
0,7,3,12,0,4
0,8,4,3,0,4
0,9,4,5,0,2
0,10,4,11,0,6
0,11,5,4,0,2
0,12,5,6,0,4
0,13,5,9,0,5
0,14,6,2,0,5
0,15,6,5,0,4
0,16,6,8,0,2
0,17,7,8,0,3
0,18,7,18,0,2
0,19,8,6,0,2
0,20,8,7,0,3
0,21,8,9,0,10
0,22,8,16,0,5
0,23,9,5,0,5
0,24,9,8,0,10
0,25,9,10,0,3
0,26,10,9,0,3
0,27,10,11,0,5
0,28,10,15,0,6
0,29,10,16,0,4
0,30,10,17,0,8
0,31,11,4,0,6
0,32,11,10,0,5
0,33,11,12,0,6
0,34,11,14,0,4
0,35,12,3,0,4
0,36,12,11,0,6
0,37,12,13,0,3
0,38,13,12,0,3
0,39,13,24,0,4
0,40,14,11,0,4
0,41,14,15,0,5
0,42,14,23,0,4
0,43,15,10,0,6
0,44,15,14,0,5
0,45,15,19,0,3
0,46,15,22,0,3
0,47,16,8,0,5
0,48,16,10,0,4
0,49,16,17,0,2
0,50,16,18,0,3
0,51,17,10,0,8
0,52,17,16,0,2
0,53,17,19,0,2
0,54,18,7,0,2
0,55,18,16,0,3
0,56,18,20,0,4
0,57,19,15,0,3
0,58,19,17,0,2
0,59,19,20,0,4
0,60,20,18,0,4
0,61,20,19,0,4
0,62,20,21,0,6
0,63,20,22,0,5
0,64,21,20,0,6
0,65,21,22,0,2
0,66,21,24,0,3
0,67,22,15,0,3
0,68,22,20,0,5
0,69,22,21,0,2
0,70,22,23,0,4
0,71,23,14,0,4
0,72,23,22,0,4
0,73,23,24,0,2
0,74,24,13,0,4
0,75,24,21,0,3
0,76,24,23,0,2
1,1,1,2,3800,6.00042
1,2,1,3,6000,4.00259
1,3,2,1,3800,6.00042
1,4,2,6,6600,7.35476
1,5,3,1,6000,4.00259
1,6,3,4,10200,4.07577
1,7,3,12,6800,4.00428
1,8,4,3,10200,4.07577
1,9,4,5,13700,2.10568
1,10,4,11,6700,9.12342
1,11,5,4,13700,2.10568
1,12,5,6,10200,14.8351
1,13,5,9,7000,5.18007
1,14,6,2,6600,7.35476
1,15,6,5,10200,14.8351
1,16,6,8,16800,43.5026
1,17,7,8,8000,3.48742
1,18,7,18,13100,2.02945
1,19,8,6,16800,43.5026
1,20,8,7,8000,3.48742
1,21,8,9,800,10.0009
1,22,8,16,15500,71.7821
1,23,9,5,7000,5.18007
1,24,9,8,800,10.0009
1,25,9,10,17000,4.00225
1,26,10,9,17100,4.02604
1,27,10,11,22100,22.8908
1,28,10,15,11200,6.42485
1,29,10,16,28200,90
1,30,10,17,0,8
1,31,11,4,6800,9.31411
1,32,11,10,21300,20.4376
1,33,11,12,11300,31.2723
1,34,11,14,17500,90
1,35,12,3,6800,4.00428
1,36,12,11,11300,31.2723
1,37,12,13,12000,3.02074
1,38,13,12,12100,3.02144
1,39,13,24,10800,16.1492
1,40,14,11,16900,90
1,41,14,15,11400,23.3252
1,42,14,23,7800,7.77554
1,43,15,10,11300,6.44023
1,44,15,14,10800,19.7613
1,45,15,19,19000,4.30321
1,46,15,22,22900,17.5753
1,47,16,8,15500,71.7821
1,48,16,10,28900,90
1,49,16,17,26700,90
1,50,16,18,14100,3.11858
1,51,17,10,0,8
1,52,17,16,26700,90
1,53,17,19,21900,90
1,54,18,7,13100,2.02945
1,55,18,16,14800,3.14394
1,56,18,20,11500,4.03498
1,57,19,15,18400,4.14623
1,58,19,17,21900,90
1,59,19,20,5100,4.64811
1,60,20,18,12100,4.04287
1,61,20,19,4500,4.39284
1,62,20,21,4400,6.51461
1,63,20,22,5300,5.89162
1,64,21,20,4300,6.4694
1,65,21,22,13000,13.453
1,66,21,24,12800,24.2064
1,67,22,15,22900,17.5753
1,68,22,20,5300,5.89162
1,69,22,21,13000,13.453
1,70,22,23,5800,5.08638
1,71,23,14,7800,7.77554
1,72,23,22,5800,5.08638
1,73,23,24,5700,2.47608
1,74,24,13,10800,16.1492
1,75,24,21,12700,23.5514
1,76,24,23,5700,2.47608
2,1,1,2,4350,6.00072
2,2,1,3,9400,4.01561
2,3,2,1,4300,6.00068
2,4,2,6,4150,5.3681
2,5,3,1,9450,4.01595
2,6,3,4,20700,5.28523
2,7,3,12,14250,4.08247
2,8,4,3,19650,5.04363
2,9,4,5,23600,2.93061
2,10,4,11,14550,75.4678
2,11,5,4,27850,3.80477
2,12,5,6,8050,8.20356
2,13,5,9,23400,27.4866
2,14,6,2,4100,5.35068
2,15,6,5,8100,8.30898
2,16,6,8,8400,4.59391
2,17,7,8,15050,9.1051
2,18,7,18,15700,2.06076
2,19,8,6,8400,4.59391
2,20,8,7,15000,9.02438
2,21,8,9,12300,62.7813
2,22,8,16,7750,9.17388
2,23,9,5,27600,48.5209
2,24,9,8,12250,61.9282
2,25,9,10,25250,7.87783
2,26,10,9,29500,12.088
2,27,10,11,11050,6.11818
2,28,10,15,31300,31.9144
2,29,10,16,14100,46.6874
2,30,10,17,11700,44.166
2,31,11,4,9350,17.8462
2,32,11,10,15850,9.73346
2,33,11,12,5650,7.57952
2,34,11,14,8750,10.2194
2,35,12,3,15350,4.11104
2,36,12,11,5650,7.57952
2,37,12,13,14500,3.04421
2,38,13,12,15700,3.06076
2,39,13,24,12000,22.5172
2,40,14,11,8450,9.40931
2,41,14,15,8100,9.67057
2,42,14,23,8550,9.45086
2,43,15,10,30300,28.758
2,44,15,14,8900,11.8075
2,45,15,19,31550,12.9083
2,46,15,22,11450,3.91096
2,47,16,8,7750,9.17388
2,48,16,10,14450,51.0864
2,49,16,17,13350,14.7371
2,50,16,18,20100,3.48967
2,51,17,10,11700,44.166
2,52,17,16,13350,14.7371
2,53,17,19,10950,9.96464
2,54,18,7,15750,2.06154
2,55,18,16,20450,3.52468
