od_seq_id,o_zone_id,d_zone_id,o_sindex,d_sindex,o_district_id,d_district_id,mode_type,demand_period,connectivity_flag,s_x_coord,s_y_coord,t_x_coord,t_y_coord,volume_s0,avg_tt_s0,avg_distance_km_s0,avg_cost_s0,
1,1,2,0,1,1,2,auto,am,0,-96.770420,43.612828,-96.711251,43.605813,100.00,6.00,6.00,0.00,
1,1,3,0,2,1,0,auto,am,0,-96.770420,43.612828,-96.774303,43.572962,100.00,4.01,4.00,0.00,
1,1,4,0,3,1,0,auto,am,0,-96.770420,43.612828,-96.747168,43.563654,500.00,8.34,8.00,0.00,
1,1,5,0,4,1,0,auto,am,0,-96.770420,43.612828,-96.731569,43.564034,200.00,10.70,10.00,0.00,
1,1,6,0,5,1,0,auto,am,0,-96.770420,43.612828,-96.711644,43.587586,300.00,12.40,11.00,0.00,
1,1,7,0,6,1,0,auto,am,0,-96.770420,43.612828,-96.693423,43.563844,500.00,33.32,16.00,0.00,
1,1,8,0,7,1,0,auto,am,0,-96.770420,43.612828,-96.711382,43.562324,800.00,27.70,13.00,0.00,
1,1,9,0,8,1,0,auto,am,0,-96.770420,43.612828,-96.731241,43.548596,500.00,20.46,15.00,0.00,
1,1,10,0,9,1,0,auto,am,0,-96.770420,43.612828,-96.731438,43.545271,1300.00,26.27,18.00,0.00,
1,1,11,0,10,1,0,auto,am,0,-96.770420,43.612828,-96.746841,43.544131,500.00,15.47,14.00,0.00,
1,1,12,0,11,1,0,auto,am,0,-96.770420,43.612828,-96.780137,43.543941,200.00,8.03,8.00,0.00,
1,1,13,0,12,1,0,auto,am,0,-96.770420,43.612828,-96.793377,43.490707,500.00,11.06,11.00,0.00,
1,1,14,0,13,1,0,auto,am,0,-96.770420,43.612828,-96.751035,43.529306,300.00,29.14,18.00,0.00,
1,1,15,0,14,1,0,auto,am,0,-96.770420,43.612828,-96.731504,43.529401,500.00,39.90,24.00,0.00,
1,1,16,0,15,1,0,auto,am,0,-96.770420,43.612828,-96.711382,43.546744,500.00,38.44,18.04,0.00,
1,1,17,0,16,1,0,auto,am,0,-96.770420,43.612828,-96.711382,43.541280,400.00,42.58,26.00,0.00,
1,1,18,0,17,1,0,auto,am,0,-96.770420,43.612828,-96.694078,43.546744,100.00,35.39,18.00,0.00,
1,1,19,0,18,1,0,auto,am,0,-96.770420,43.612828,-96.711316,43.529591,300.00,44.20,27.00,0.00,
1,1,20,0,19,1,0,auto,am,0,-96.770420,43.612828,-96.711185,43.515333,300.00,39.70,22.00,0.00,
1,1,21,0,20,1,0,auto,am,0,-96.770420,43.612828,-96.730979,43.510485,100.00,39.61,18.00,0.00,
1,1,22,0,21,1,0,auto,am,0,-96.770420,43.612828,-96.731241,43.514858,400.00,43.71,20.36,0.00,
1,1,23,0,22,1,0,auto,am,0,-96.770420,43.612828,-96.750904,43.514858,300.00,31.85,17.00,0.00,
1,1,24,0,23,1,0,auto,am,0,-96.770420,43.612828,-96.749200,43.503164,100.00,28.19,15.00,0.00,
1,2,1,1,0,2,1,auto,am,0,-96.711251,43.605813,-96.770420,43.612828,100.00,6.00,6.00,0.00,
1,2,3,1,2,2,0,auto,am,0,-96.711251,43.605813,-96.774303,43.572962,100.00,10.01,10.00,0.00,
1,2,4,1,3,2,0,auto,am,0,-96.711251,43.605813,-96.747168,43.563654,200.00,14.34,14.00,0.00,
1,2,5,1,4,2,0,auto,am,0,-96.711251,43.605813,-96.731569,43.564034,100.00,16.19,11.18,0.00,
1,2,6,1,5,2,0,auto,am,0,-96.711251,43.605813,-96.711644,43.587586,400.00,6.40,5.00,0.00,
1,2,7,1,6,2,0,auto,am,0,-96.711251,43.605813,-96.693423,43.563844,200.00,27.32,10.00,0.00,
1,2,8,1,7,2,0,auto,am,0,-96.711251,43.605813,-96.711382,43.562324,400.00,21.70,7.00,0.00,
1,2,9,1,8,2,0,auto,am,0,-96.711251,43.605813,-96.731241,43.548596,200.00,26.02,16.78,0.00,
1,2,10,1,9,2,0,auto,am,0,-96.711251,43.605813,-96.731438,43.545271,600.00,31.88,20.30,0.00,
1,2,11,1,10,2,0,auto,am,0,-96.711251,43.605813,-96.746841,43.544131,200.00,21.47,20.00,0.00,
1,2,12,1,11,2,0,auto,am,0,-96.711251,43.605813,-96.780137,43.543941,100.00,14.04,14.00,0.00,
1,2,13,1,12,2,0,auto,am,0,-96.711251,43.605813,-96.793377,43.490707,300.00,17.06,17.00,0.00,
1,2,14,1,13,2,0,auto,am,0,-96.711251,43.605813,-96.751035,43.529306,100.00,35.14,24.00,0.00,
1,2,15,1,14,2,0,auto,am,0,-96.711251,43.605813,-96.731504,43.529401,100.00,45.48,26.12,0.00,
1,2,16,1,15,2,0,auto,am,0,-96.711251,43.605813,-96.711382,43.546744,400.00,32.45,12.21,0.00,
1,2,17,1,16,2,0,auto,am,0,-96.711251,43.605813,-96.711382,43.541280,200.00,40.47,14.06,0.00,
