first_column,route_seq_id,o_zone_id,d_zone_id,o_super_zone_index,d_super_zone_index,od_pair_key,information_type,mode_type,demand_period,volume,distance_km,distance_mile,travel_time,FFTT,co2,nox,OD_based_UE_relative_gap_compared_to_least_time_path_travel_time,path_based_UE_gap,path_based_relative_UE_gap,preload_volume_from_route_input_file,ODME_volume_before,ODME_volume_after,ODME_volume_diff,SIMU_volume,SIMU_travel_time,toll,number_of_nodes,node_sequence,link_id_sequence,geometry,link_special_flag_sequence,sequential_link_delay,sequential_link_FFTT,DTM_OD_impact,DTM_path_impact,DTM_#_of_lane_closure_links,lane_closure_link_vector,DTM_new_path_generated,DTM_volume_before,DTM_volume_after,DTM_volume_diff, DTM_TT_0,DTM_Vol_0,
0,1,1,2,0,1,1->2,0,auto,am,100.0000,6.0000,3.7290,6.0011,6.0000,2.078524,0.000553,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,6.0011,0.0000,2,1;2;,1;,"LINESTRING (-96.770420 43.612828, -96.711251 43.605813)",,0.001;,6.000;,0,,,,,,,,,-1.000000,0.000000,
0,2,1,3,0,2,1->3,0,auto,am,100.0000,4.0000,2.4860,4.0103,4.0000,1.385032,0.000368,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,4.0103,0.0000,2,1;3;,2;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962)",,0.010;,4.000;,0,,,,,,,,,-1.000000,0.000000,
0,3,1,4,0,3,1->4,0,auto,am,500.0000,8.0000,4.9720,8.3396,8.0000,2.756995,0.000720,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,8.3396,0.0000,3,1;3;4;,2;6;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654)",,0.010;0.329;,4.000;4.000;,0,,,,,,,,,-1.000000,0.000000,
0,4,1,5,0,4,1->5,0,auto,am,200.0000,10.0000,6.2150,10.6993,10.0000,3.443043,0.000888,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,10.6993,0.0000,4,1;3;4;5;,2;6;9;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034)",,0.010;0.329;0.360;,4.000;4.000;2.000;,0,,,,,,,,,-1.000000,0.000000,
0,5,1,6,0,5,1->6,0,auto,am,300.0000,11.0000,6.8365,12.4048,11.0000,3.808258,0.000961,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,12.4048,0.0000,3,1;2;6;,1;4;,"LINESTRING (-96.770420 43.612828, -96.711251 43.605813, -96.711644 43.587586)",,0.001;1.404;,6.000;5.000;,0,,,,,,,,,-1.000000,0.000000,
0,6,1,6,0,5,1->6,0,auto,am,0.0000,14.0000,8.7011,20.1868,14.0000,5.187633,0.001191,0.0000,7.7804,0.3854,0.0000,0.0000,0.0000,0.0000,0,20.1868,0.0000,5,1;3;4;5;6;,2;6;9;12;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034, -96.711644 43.587586)",,0.010;0.329;0.360;5.488;,4.000;4.000;2.000;4.000;,0,,,,,,,,,-1.000000,0.000000,
0,7,1,7,0,6,1->7,0,auto,am,500.0000,16.0000,9.9441,33.3233,16.0000,7.041910,0.001413,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,33.3233,0.0000,5,1;2;6;8;7;,1;4;16;20;,"LINESTRING (-96.770420 43.612828, -96.711251 43.605813, -96.711644 43.587586, -96.711382 43.562324, -96.693423 43.563844)",,0.001;1.404;13.298;2.620;,6.000;5.000;2.000;3.000;,0,,,,,,,,,-1.000000,0.000000,
0,8,1,7,0,6,1->7,0,auto,am,0.0000,19.0000,11.8086,41.1053,19.0000,8.421286,0.001644,0.0000,7.7804,0.1893,0.0000,0.0000,0.0000,0.0000,0,41.1053,0.0000,7,1;3;4;5;6;8;7;,2;6;9;12;16;20;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034, -96.711644 43.587586, -96.711382 43.562324, -96.693423 43.563844)",,0.010;0.329;0.360;5.488;13.298;2.620;,4.000;4.000;2.000;4.000;2.000;3.000;,0,,,,,,,,,-1.000000,0.000000,
0,9,1,7,0,6,1->7,0,auto,am,0.0000,28.0000,17.4021,41.1069,28.0000,10.166583,0.002273,0.0000,7.7822,0.1893,0.0000,0.0000,0.0000,0.0000,0,41.1069,0.0000,7,1;3;4;5;9;8;7;,2;6;9;13;24;20;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034, -96.731241 43.548596, -96.711382 43.562324, -96.693423 43.563844)",,0.010;0.329;0.360;4.761;5.026;2.620;,4.000;4.000;2.000;5.000;10.000;3.000;,0,,,,,,,,,-1.000000,0.000000,
0,10,1,8,0,7,1->8,0,auto,am,800.0000,13.0000,8.0796,27.7028,13.0000,5.877594,0.001186,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,27.7028,0.0000,4,1;2;6;8;,1;4;16;,"LINESTRING (-96.770420 43.612828, -96.711251 43.605813, -96.711644 43.587586, -96.711382 43.562324)",,0.001;1.404;13.298;,6.000;5.000;2.000;,0,,,,,,,,,-1.000000,0.000000,
