first_column,route_seq_id,o_zone_id,d_zone_id,o_super_zone_index,d_super_zone_index,od_pair_key,information_type,mode_type,demand_period,volume,distance_km,distance_mile,travel_time,FFTT,co2,nox,OD_based_UE_relative_gap_compared_to_least_time_path_travel_time,path_based_UE_gap,path_based_relative_UE_gap,preload_volume_from_route_input_file,ODME_volume_before,ODME_volume_after,ODME_volume_diff,SIMU_volume,SIMU_travel_time,toll,number_of_nodes,node_sequence,link_id_sequence,geometry,link_special_flag_sequence,sequential_link_delay,sequential_link_FFTT,DTM_OD_impact,DTM_path_impact,DTM_#_of_lane_closure_links,lane_closure_link_vector,DTM_new_path_generated,DTM_volume_before,DTM_volume_after,DTM_volume_diff, DTM_TT_0,DTM_Vol_0,
0,1,1,2,0,1,1->2,0,auto,am,100.0000,6.0000,3.7290,6.0009,6.0000,2.078540,0.000553,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100,136.9120,0.0000,2,1;2;,1;,"LINESTRING (-96.770420 43.612828, -96.711251 43.605813)",,0.001;,6.000;,0,,,,,,,,,-1.000000,0.000000,
0,2,1,3,0,2,1->3,0,auto,am,100.0000,4.0000,2.4860,4.0089,4.0000,1.385124,0.000368,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100,136.8518,0.0000,2,1;3;,2;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962)",,0.009;,4.000;,0,,,,,,,,,-1.000000,0.000000,
0,3,1,4,0,3,1->4,0,auto,am,500.0000,8.0000,4.9720,8.2933,8.0000,2.758056,0.000722,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,500,138.5451,0.0000,3,1;3;4;,2;6;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654)",,0.009;0.284;,4.000;4.000;,0,,,,,,,,,-1.000000,0.000000,
0,4,1,5,0,4,1->5,0,auto,am,200.0000,10.0000,6.2150,10.6223,10.0000,3.443663,0.000891,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,200,137.9969,0.0000,4,1;3;4;5;,2;6;9;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034)",,0.009;0.284;0.329;,4.000;4.000;2.000;,0,,,,,,,,,-1.000000,0.000000,
0,5,1,6,0,5,1->6,0,auto,am,300.0000,11.0000,6.8365,12.5510,11.0000,3.814465,0.000958,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,300,138.3488,0.0000,3,1;2;6;,1;4;,"LINESTRING (-96.770420 43.612828, -96.711251 43.605813, -96.711644 43.587586)",,0.001;1.550;,6.000;5.000;,0,,,,,,,,,-1.000000,0.000000,
0,6,1,6,0,5,1->6,0,auto,am,0.0000,14.0000,8.7011,20.5217,14.0000,5.230417,0.001196,0.0000,7.9706,0.3884,0.0000,0.0000,0.0000,0.0000,0,20.5217,0.0000,5,1;3;4;5;6;,2;6;9;12;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034, -96.711644 43.587586)",,0.009;0.284;0.329;5.899;,4.000;4.000;2.000;4.000;,0,,,,,,,,,-1.000000,0.000000,
0,7,1,7,0,6,1->7,0,auto,am,500.0000,16.0000,9.9441,32.8607,16.0000,6.980043,0.001407,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,500,139.5341,0.0000,5,1;2;6;8;7;,1;4;16;20;,"LINESTRING (-96.770420 43.612828, -96.711251 43.605813, -96.711644 43.587586, -96.711382 43.562324, -96.693423 43.563844)",,0.001;1.550;12.797;2.513;,6.000;5.000;2.000;3.000;,0,,,,,,,,,-1.000000,0.000000,
0,8,1,7,0,6,1->7,0,auto,am,0.0000,19.0000,11.8086,40.8314,19.0000,8.395995,0.001644,0.0000,7.9706,0.1952,0.0000,0.0000,0.0000,0.0000,0,40.8314,0.0000,7,1;3;4;5;6;8;7;,2;6;9;12;16;20;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034, -96.711644 43.587586, -96.711382 43.562324, -96.693423 43.563844)",,0.009;0.284;0.329;5.899;12.797;2.513;,4.000;4.000;2.000;4.000;2.000;3.000;,0,,,,,,,,,-1.000000,0.000000,
0,9,1,7,0,6,1->7,0,auto,am,0.0000,28.0000,17.4021,40.8315,28.0000,10.149375,0.002277,0.0000,7.9695,0.1952,0.0000,0.0000,0.0000,0.0000,0,40.8315,0.0000,7,1;3;4;5;9;8;7;,2;6;9;13;24;20;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034, -96.731241 43.548596, -96.711382 43.562324, -96.693423 43.563844)",,0.009;0.284;0.329;4.673;5.023;2.513;,4.000;4.000;2.000;5.000;10.000;3.000;,0,,,,,,,,,-1.000000,0.000000,
0,10,1,8,0,7,1->8,0,auto,am,800.0000,13.0000,8.0796,27.3479,13.0000,5.825292,0.001179,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,800,139.3133,0.0000,4,1;2;6;8;,1;4;16;,"LINESTRING (-96.770420 43.612828, -96.711251 43.605813, -96.711644 43.587586, -96.711382 43.562324)",,0.001;1.550;12.797;,6.000;5.000;2.000;,0,,,,,,,,,-1.000000,0.000000,
0,11,1,8,0,7,1->8,0,auto,am,0.0000,16.0000,9.9441,35.3187,16.0000,7.241245,0.001417,0.0000,7.9706,0.1952,0.0000,0.0000,0.0000,0.0000,0,35.3187,0.0000,6,1;3;4;5;6;8;,2;6;9;12;16;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034, -96.711644 43.587586, -96.711382 43.562324)",,0.009;0.284;0.329;5.899;12.797;,4.000;4.000;2.000;4.000;2.000;,0,,,,,,,,,-1.000000,0.000000,
0,12,1,8,0,7,1->8,0,auto,am,0.0000,25.0000,15.5376,35.3187,25.0000,8.994625,0.002049,0.0000,7.9695,0.1952,0.0000,0.0000,0.0000,0.0000,0,35.3187,0.0000,6,1;3;4;5;9;8;,2;6;9;13;24;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034, -96.731241 43.548596, -96.711382 43.562324)",,0.009;0.284;0.329;4.673;5.023;,4.000;4.000;2.000;5.000;10.000;,0,,,,,,,,,-1.000000,0.000000,
0,13,1,9,0,8,1->9,0,auto,am,500.0000,15.0000,9.3226,20.2958,15.0000,5.411908,0.001269,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,500,139.5140,0.0000,5,1;3;4;5;9;,2;6;9;13;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034, -96.731241 43.548596)",,0.009;0.284;0.329;4.673;,4.000;4.000;2.000;5.000;,0,,,,,,,,,-1.000000,0.000000,
0,14,1,9,0,8,1->9,0,auto,am,0.0000,22.0000,13.6731,39.6537,22.0000,8.721758,0.001798,0.0000,19.3572,0.4741,0.0000,0.0000,0.0000,0.0000,0,39.6537,0.0000,6,1;3;12;11;10;9;,2;7;36;32;26;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.780137 43.543941, -96.746841 43.544131, -96.731438 43.545271, -96.731241 43.548596)",,0.009;0.022;7.690;7.204;2.730;,4.000;4.000;6.000;5.000;3.000;,0,,,,,,,,,-1.000000,0.000000,
0,15,1,10,0,9,1->10,0,auto,am,0.0000,19.0000,11.8086,27.6303,19.0000,7.033068,0.001605,0.0000,1.6398,0.0402,0.0000,0.0000,0.0000,0.0000,0,27.6303,0.0000,5,1;3;4;11;10;,2;6;10;32;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.746841 43.544131, -96.731438 43.545271)",,0.009;0.284;1.133;7.204;,4.000;4.000;6.000;5.000;,0,,,,,,,,,-1.000000,0.000000,
