link_seq_id,link_id,vdf_type,from_node_id,to_node_id,lanes,distance_km,distance_mile,fftt,meso_link_id,meso_link_incoming_volume,tmc,tmc_corridor_name,tmc_corridor_id,tmc_road_order,tmc_road_sequence,subarea_id,link_type,link_type_code,vdf_code,time_period,vehicle_volume,person_volume,ref_volume,ref_diff,restricted_turn_nodes,auto_turn_volume,ODME_volume_before,ODME_volume_after,ODME_volume_diff,ODME_obs_count,ODME_upperbound_capacity_type,ODME_obs_count_dev,preload_volume,travel_time,speed_kmph,speed_mph,speed_ratio,VOC,DOC,lane_capacity,link_capacity,queue,total_simu_waiting_time_in_min,avg_simu_waiting_time_in_min,plf,lanes,D_per_hour_per_lane,QVDF_cd,QVDF_n,P,severe_congestion_duration_in_h,vf,v_congestion_cutoff,QVDF_cp,QVDF_s,QVDF_v,vt2,VMT,VHT,PMT,PHT,PDT_vf,PDT_vc,geometry,vehicle_vol_auto,MEU_vol_auto,mode_link_cap_auto,mode_DOC_auto,mode_TT_auto,v06:00,v06:15,v06:30,v06:45,v07:00,v07:15,v07:30,v07:45,v08:00,v08:15,v08:30,v08:45,v09:00,v09:15,v09:30,v09:45,v10:00,v10:15,v10:30,v10:45,v11:00,v11:15,v11:30,v11:45,v12:00,v12:15,v12:30,v12:45,v13:00,v13:15,v13:30,v13:45,v14:00,v14:15,v14:30,v14:45,v15:00,v15:15,v15:30,v15:45,v16:00,v16:15,v16:30,v16:45,v17:00,v17:15,v17:30,v17:45,v18:00,v18:15,v18:30,v18:45,v19:00,v19:15,v19:30,v19:45,DTM_type,DTM_volume_before,DTM_volume_after,DTM_volume_diff,DTM_speed_before,DTM_speed_after,DTM_speed_diff,DTM_DoC_before,DTM_DoC_after,DTM_Doc_diff,DTM_P_before,DTM_P_after,DTM_P_diff,notes
1,1,bpr,1,2,1.000000,6.000000,3.729024,6.000000,-1,0,,network_wide,-1,0,-1,-1,1,,,0700_0800,4835.013,4835.013,-1.000,0.000,,6:3337;,0.000,0.000,0.000,,,,0.000,6.001,59.989,37.283,1.000,0.187,0.187,25900.201,25900.201,0.000,0.000,0.000,1.000,1.000,4835.013,0.955,1.142,0.001,0.000,60.000,51.000,0.400,4.000,59.964,51.000,18029.879,483.589,18029.879,483.589,0.088,0.000,"LINESTRING (-96.770451 43.612565, -96.711282 43.605550)",4835.013,4835.013,25900.201,0.186679,6.001,60.000,60.000,60.000,60.000,59.994,59.976,56.982,59.988,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,4835.013,4835.013,0.000,59.989,0.000,-59.989,0.187,0.000,-0.187,0.001,0.000,-0.001,period-based
2,2,bpr,1,3,1.000000,4.000000,2.486016,4.000000,-1,0,,network_wide,-1,0,-1,-1,1,,,0700_0800,8468.406,8468.406,-1.000,0.000,,4:5438;12:2652;,0.000,0.000,0.000,,,,0.000,4.010,59.846,37.195,0.997,0.362,0.362,23403.473,23403.473,0.000,0.000,0.000,1.000,1.000,8468.406,0.955,1.142,0.016,0.000,60.000,51.000,0.400,4.000,59.493,51.000,21052.596,566.012,21052.596,566.012,1.452,0.000,"LINESTRING (-96.770683 43.612854, -96.774567 43.572987)",8468.406,8468.406,23403.473,0.361844,4.010,60.000,60.000,60.000,60.000,59.914,59.656,56.742,59.828,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,8468.406,8468.406,0.000,59.846,0.000,-59.846,0.362,0.000,-0.362,0.016,0.000,-0.016,period-based
3,3,bpr,2,1,1.000000,6.000000,3.729024,6.000000,-1,0,,network_wide,-1,0,-1,-1,1,,,0700_0800,4868.406,4868.406,-1.000,0.000,,3:2268;,0.000,0.000,0.000,,,,0.000,6.001,59.989,37.283,1.000,0.188,0.188,25900.201,25900.201,0.000,0.000,0.000,1.000,1.000,4868.406,0.955,1.142,0.001,0.000,60.000,51.000,0.400,4.000,59.963,51.000,18154.404,486.932,18154.404,486.932,0.091,0.000,"LINESTRING (-96.711219 43.606076, -96.770389 43.613091)",4868.406,4868.406,25900.201,0.187968,6.001,60.000,60.000,60.000,60.000,59.994,59.975,56.981,59.988,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,4868.406,4868.406,0.000,59.989,0.000,-59.989,0.188,0.000,-0.188,0.001,0.000,-0.001,period-based
4,4,bpr,2,6,1.000000,5.000000,3.107520,5.000000,-1,0,,network_wide,-1,0,-1,-1,1,,,0700_0800,5799.308,5799.308,-1.000,0.000,,5:561;8:4306;,0.000,0.000,0.000,,,,0.000,6.404,46.848,29.116,0.781,1.170,1.170,4958.181,4958.181,0.000,0.000,0.000,1.000,1.000,5799.307,0.955,1.142,1.142,0.000,60.000,51.000,0.400,4.000,33.759,30.348,18021.465,618.951,18021.465,618.951,135.675,50.391,"LINESTRING (-96.711515 43.605819, -96.711909 43.587591)",5799.307,5799.307,4958.181,1.169644,6.404,60.000,60.000,60.000,60.000,44.312,32.891,31.239,39.687,56.393,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,5799.308,5799.308,0.000,46.848,0.000,-46.848,1.170,0.000,-1.170,1.142,0.000,-1.142,period-based
5,5,bpr,3,1,1.000000,4.000000,2.486016,4.000000,-1,0,,network_wide,-1,0,-1,-1,1,,,0700_0800,8435.013,8435.013,-1.000,0.000,,2:2235;,0.000,0.000,0.000,,,,0.000,4.010,59.849,37.196,0.997,0.360,0.360,23403.473,23403.473,0.000,0.000,0.000,1.000,1.000,8435.013,0.955,1.142,0.016,0.000,60.000,51.000,0.400,4.000,59.500,51.000,20969.578,563.758,20969.578,563.758,1.423,0.000,"LINESTRING (-96.774040 43.572936, -96.770156 43.612802)",8435.013,8435.013,23403.473,0.360417,4.010,60.000,60.000,60.000,60.000,59.915,59.662,56.746,59.831,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,8435.013,8435.013,0.000,59.849,0.000,-59.849,0.360,0.000,-0.360,0.016,0.000,-0.016,period-based
6,6,bpr,3,4,1.000000,4.000000,2.486016,4.000000,-1,0,,network_wide,-1,0,-1,-1,1,,,0700_0800,14728.017,14728.017,-1.000,0.000,,5:10612;11:1501;,0.000,0.000,0.000,,,,0.000,4.329,55.435,34.453,0.924,0.861,0.861,17110.524,17110.524,0.000,0.000,0.000,1.000,1.000,14728.017,0.955,1.142,0.524,0.000,60.000,51.000,0.400,4.000,47.129,49.504,36614.086,1062.716,36614.086,1062.716,80.848,0.000,"LINESTRING (-96.774389 43.572711, -96.747254 43.563403)",14728.017,14728.017,17110.524,0.860758,4.329,60.000,60.000,60.000,60.000,56.847,55.641,52.177,56.813,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,14728.017,14728.017,0.000,55.435,0.000,-55.435,0.861,0.000,-0.861,0.524,0.000,-0.524,period-based
7,7,bpr,3,12,1.000000,4.000000,2.486016,4.000000,-1,0,,network_wide,-1,0,-1,-1,1,,,0700_0800,10518.662,10518.662,-1.000,0.000,,11:0;13:5730;,0.000,0.000,0.000,,,,0.000,4.024,59.635,37.063,0.994,0.449,0.449,23403.473,23403.473,0.000,0.000,0.000,1.000,1.000,10518.662,0.955,1.142,0.039,0.000,60.000,51.000,0.400,4.000,58.806,51.000,26149.564,705.536,26149.564,705.536,4.292,0.000,"LINESTRING (-96.774563 43.573014, -96.780396 43.543993)",10518.662,10518.662,23403.473,0.449449,4.024,60.000,60.000,60.000,60.000,59.793,59.172,56.379,59.586,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,10518.662,10518.662,0.000,59.635,0.000,-59.635,0.449,0.000,-0.449,0.039,0.000,-0.039,period-based
8,8,bpr,4,3,1.000000,4.000000,2.486016,4.000000,-1,0,,network_wide,-1,0,-1,-1,1,,,0700_0800,14685.961,14685.961,-1.000,0.000,,1:5397;12:7366;,0.000,0.000,0.000,,,,0.000,4.326,55.483,34.483,0.925,0.858,0.858,17110.524,17110.524,0.000,0.000,0.000,1.000,1.000,14685.961,0.955,1.142,0.518,0.000,60.000,51.000,0.400,4.000,47.244,49.569,36509.535,1058.764,36509.535,1058.764,79.700,0.000,"LINESTRING (-96.747083 43.563904, -96.774217 43.573212)",14685.961,14685.961,17110.524,0.858300,4.326,60.000,60.000,60.000,60.000,56.886,55.737,52.281,56.866,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,14685.961,14685.961,0.000,55.483,0.000,-55.483,0.858,0.000,-0.858,0.518,0.000,-0.518,period-based
9,9,bpr,4,5,1.000000,2.000000,1.243008,2.000000,-1,0,,network_wide,-1,0,-1,-1,1,,,0700_0800,18607.732,18607.732,-1.000,0.000,,6:5311;9:11269;,0.000,0.000,0.000,,,,0.000,2.360,50.855,31.606,0.848,1.046,1.046,17782.794,17782.794,0.000,0.000,0.000,1.000,1.000,18607.732,0.955,1.142,1.006,0.000,60.000,51.000,0.400,4.000,38.428,36.189,23129.562,731.799,23129.562,731.799,111.542,2.084,"LINESTRING (-96.747162 43.563389, -96.731563 43.563769)",18607.732,18607.732,17782.794,1.046390,2.360,60.000,60.000,60.000,60.000,48.405,38.892,37.156,45.205,56.999,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,18607.732,18607.732,0.000,50.855,0.000,-50.855,1.046,0.000,-1.046,1.006,0.000,-1.006,period-based
10,10,bpr,4,11,1.000000,6.000000,3.729024,6.000000,-1,0,,network_wide,-1,0,-1,-1,1,,,0700_0800,5194.208,5194.208,-1.000,0.000,,10:0;14:1844;,0.000,0.000,0.000,,,,0.000,7.128,50.503,31.388,0.842,1.058,1.058,4908.827,4908.827,0.000,0.000,0.000,1.000,1.000,5194.208,0.955,1.142,1.019,0.000,60.000,51.000,0.400,4.000,38.001,35.648,19369.328,617.094,19369.328,617.094,97.674,6.011,"LINESTRING (-96.747433 43.563649, -96.747105 43.544126)",5194.208,5194.208,4908.827,1.058136,7.128,60.000,60.000,60.000,60.000,48.129,38.350,36.612,44.759,56.990,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,5194.208,5194.208,0.000,50.503,0.000,-50.503,1.058,0.000,-1.058,1.019,0.000,-1.019,period-based
