link_seq_id,link_id,base_s0_link_type,from_node_id,to_node_id,geometry,distance_km,distance_mile,fftt,free_speed_base_mode,link_specific_speed_diff,capacity_base_mode,link_specific_capacity_diff,meso_link_id,tmc,tmc_corridor_name,tmc_corridor_id,tmc_road_order,tmc_road_sequence,subarea_id,lanes_s0,link_type_s0,free_speed_s0,capacity_s0,lanes_p1_s0_auto,VOL_p1_s0_auto,MEU_p1_s0_auto,CAP_p1_s0_auto,PEN_p1_s0_auto,DOC_p1_s0_auto,TT_p1_s0_auto,CO2_p1_s0_auto,NOX_p1_s0_auto,VOL_am_2025_auto,MEU_am_2025_auto,CAP_am_2025_auto,PEN_am_2025_auto,DOC_am_2025_auto,TT_am_2025_auto,CO2_am_2025_auto,NOX_am_2025_auto,
1,1,motorway,1,2,"LINESTRING (-96.770451 43.612565, -96.711282 43.605550)",6.000000,3.729024,6.000000,60.000000,0.000000,25900.200640,23900.200640,-1,,network_wide,-1,0,-1,-1,1.0,motorway,60.0,25900.2,1.0,4835.0,4835.0,25900.2,0.0,0.1867,6.0,10049.7,2.7,4835.0,4835.0,25900.201,0.000,0.1867,6.001,10049.690,2.676,
2,2,motorway,1,3,"LINESTRING (-96.770683 43.612854, -96.774567 43.572987)",4.000000,2.486016,4.000000,60.000000,0.000000,23403.473190,21403.473190,-1,,network_wide,-1,0,-1,-1,1.0,motorway,60.0,23403.5,1.0,8468.4,8468.4,23403.5,0.0,0.3618,4.0,11729.0,3.1,8468.4,8468.4,23403.473,0.000,0.3618,4.010,11729.016,3.119,
3,3,motorway,2,1,"LINESTRING (-96.711219 43.606076, -96.770389 43.613091)",6.000000,3.729024,6.000000,60.000000,0.000000,25900.200640,23900.200640,-1,,network_wide,-1,0,-1,-1,1.0,motorway,60.0,25900.2,1.0,4868.4,4868.4,25900.2,0.0,0.1880,6.0,10119.1,2.7,4868.4,4868.4,25900.201,0.000,0.1880,6.001,10119.089,2.694,
4,4,motorway,2,6,"LINESTRING (-96.711515 43.605819, -96.711909 43.587591)",5.000000,3.107520,5.000000,60.000000,0.000000,4958.180928,2958.180928,-1,,network_wide,-1,0,-1,-1,1.0,motorway,60.0,4958.2,1.0,5799.3,5799.3,4958.2,0.0,1.1696,6.4,10031.3,2.4,5799.3,5799.3,4958.181,0.000,1.1696,6.404,10031.257,2.364,
5,5,motorway,3,1,"LINESTRING (-96.774040 43.572936, -96.770156 43.612802)",4.000000,2.486016,4.000000,60.000000,0.000000,23403.473190,21403.473190,-1,,network_wide,-1,0,-1,-1,1.0,motorway,60.0,23403.5,1.0,8435.0,8435.0,23403.5,0.0,0.3604,4.0,11682.9,3.1,8435.0,8435.0,23403.473,0.000,0.3604,4.010,11682.856,3.107,
6,6,motorway,3,4,"LINESTRING (-96.774389 43.572711, -96.747254 43.563403)",4.000000,2.486016,4.000000,60.000000,0.000000,17110.523720,15110.523720,-1,,network_wide,-1,0,-1,-1,1.0,motorway,60.0,17110.5,1.0,14728.0,14728.0,17110.5,0.0,0.8608,4.3,20206.3,5.2,14728.0,14728.0,17110.524,0.000,0.8608,4.329,20206.285,5.173,
7,7,motorway,3,12,"LINESTRING (-96.774563 43.573014, -96.780396 43.543993)",4.000000,2.486016,4.000000,60.000000,0.000000,23403.473190,21403.473190,-1,,network_wide,-1,0,-1,-1,1.0,motorway,60.0,23403.5,1.0,10518.7,10518.7,23403.5,0.0,0.4494,4.0,14558.9,3.9,10518.7,10518.7,23403.473,0.000,0.4494,4.024,14558.868,3.865,
8,8,motorway,4,3,"LINESTRING (-96.747083 43.563904, -96.774217 43.573212)",4.000000,2.486016,4.000000,60.000000,0.000000,17110.523720,15110.523720,-1,,network_wide,-1,0,-1,-1,1.0,motorway,60.0,17110.5,1.0,14686.0,14686.0,17110.5,0.0,0.8583,4.3,20149.6,5.2,14686.0,14686.0,17110.524,0.000,0.8583,4.326,20149.638,5.161,
9,9,motorway,4,5,"LINESTRING (-96.747162 43.563389, -96.731563 43.563769)",2.000000,1.243008,2.000000,60.000000,0.000000,17782.794100,15782.794100,-1,,network_wide,-1,0,-1,-1,1.0,motorway,60.0,17782.8,1.0,18607.7,18607.7,17782.8,0.0,1.0464,2.4,12765.8,3.1,18607.7,18607.7,17782.794,0.000,1.0464,2.360,12765.794,3.132,
10,10,motorway,4,11,"LINESTRING (-96.747433 43.563649, -96.747105 43.544126)",6.000000,3.729024,6.000000,60.000000,0.000000,4908.826730,2908.826730,-1,,network_wide,-1,0,-1,-1,1.0,motorway,60.0,4908.8,1.0,5194.2,5194.2,4908.8,0.0,1.0581,7.1,10695.0,2.6,5194.2,5194.2,4908.827,0.000,1.0581,7.128,10694.969,2.615,
