link_seq_id,link_id,vdf_type,from_node_id,to_node_id,lanes,distance_km,distance_mile,fftt,meso_link_id,meso_link_incoming_volume,tmc,tmc_corridor_name,tmc_corridor_id,tmc_road_order,tmc_road_sequence,subarea_id,link_type,link_type_code,vdf_code,time_period,vehicle_volume,person_volume,ref_volume,ref_diff,restricted_turn_nodes,auto_turn_volume,ODME_volume_before,ODME_volume_after,ODME_volume_diff,ODME_obs_count,ODME_upperbound_capacity_type,ODME_obs_count_dev,preload_volume,travel_time,speed_kmph,speed_mph,speed_ratio,VOC,DOC,lane_capacity,link_capacity,queue,total_simu_waiting_time_in_min,avg_simu_waiting_time_in_min,plf,lanes,D_per_hour_per_lane,QVDF_cd,QVDF_n,P,severe_congestion_duration_in_h,vf,v_congestion_cutoff,QVDF_cp,QVDF_s,QVDF_v,vt2,VMT,VHT,PMT,PHT,PDT_vf,PDT_vc,geometry,vehicle_vol_auto,MEU_vol_auto,mode_link_cap_auto,mode_DOC_auto,mode_TT_auto,v06:00,v06:15,v06:30,v06:45,v07:00,v07:15,v07:30,v07:45,v08:00,v08:15,v08:30,v08:45,v09:00,v09:15,v09:30,v09:45,v10:00,v10:15,v10:30,v10:45,v11:00,v11:15,v11:30,v11:45,v12:00,v12:15,v12:30,v12:45,v13:00,v13:15,v13:30,v13:45,v14:00,v14:15,v14:30,v14:45,v15:00,v15:15,v15:30,v15:45,v16:00,v16:15,v16:30,v16:45,v17:00,v17:15,v17:30,v17:45,v18:00,v18:15,v18:30,v18:45,v19:00,v19:15,v19:30,v19:45,DTM_type,DTM_volume_before,DTM_volume_after,DTM_volume_diff,DTM_speed_before,DTM_speed_after,DTM_speed_diff,DTM_DoC_before,DTM_DoC_after,DTM_Doc_diff,DTM_P_before,DTM_P_after,DTM_P_diff,notes
1,1,bpr,1,2,1.000000,6.000000,3.729024,6.000000,-1,0,,network_wide,-1,0,-1,-1,1,,,0700_0800,4557.118,4557.118,-1.000,0.000,,6:3235;,0.000,0.000,0.000,,,,0.000,6.001,59.991,37.285,1.000,0.176,0.176,25900.201,25900.201,0.000,0.000,0.000,1.000,1.000,4557.118,0.955,1.142,0.001,0.000,60.000,51.000,0.400,4.000,59.971,51.000,16993.604,455.777,16993.604,455.777,0.066,0.000,"LINESTRING (-96.770451 43.612565, -96.711282 43.605550)",4557.118,4557.118,25900.201,0.175949,6.001,60.000,60.000,60.000,60.000,59.995,59.981,56.986,59.990,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,57.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,4557.118,4557.118,0.000,59.991,0.000,-59.991,0.176,0.000,-0.176,0.001,0.000,-0.001,period-based
1,1,bpr,1,2,1.000000,6.000000,3.729024,6.000000,-1,0,,network_wide,-1,0,-1,-1,1,,,1100_1200,1520.000,1520.000,-1.000,0.000,,6:1280;,0.000,0.000,0.000,,,,0.000,6.000,60.000,37.290,1.000,0.059,0.059,25900.201,25900.201,0.000,0.000,0.000,1.000,1.000,1520.000,0.955,1.142,0.000,0.000,60.000,51.000,0.400,4.000,60.000,51.000,5668.117,152.000,5668.117,152.000,0.000,0.000,"LINESTRING (-96.770451 43.612565, -96.711282 43.605550)",1520.000,1520.000,25900.201,0.058687,6.000,60.000,60.000,60.000,60.000,59.995,59.981,56.986,59.990,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,57.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,1520.000,1520.000,0.000,60.000,0.000,-60.000,0.059,0.000,-0.059,0.000,0.000,-0.000,period-based
2,2,bpr,1,3,1.000000,4.000000,2.486016,4.000000,-1,0,,network_wide,-1,0,-1,-1,1,,,0700_0800,8171.170,8171.170,-1.000,0.000,,4:5190;12:2605;,0.000,0.000,0.000,,,,0.000,4.009,59.867,37.207,0.998,0.349,0.349,23403.473,23403.473,0.000,0.000,0.000,1.000,1.000,8171.170,0.955,1.142,0.014,0.000,60.000,51.000,0.400,4.000,59.560,51.000,20313.660,545.959,20313.660,545.959,1.214,0.000,"LINESTRING (-96.770683 43.612854, -96.774567 43.572987)",8171.170,8171.170,23403.473,0.349143,4.009,60.000,60.000,60.000,60.000,59.926,59.702,56.777,59.851,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,59.999,59.998,56.998,59.999,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,8171.170,8171.170,0.000,59.867,0.000,-59.867,0.349,0.000,-0.349,0.014,0.000,-0.014,period-based
2,2,bpr,1,3,1.000000,4.000000,2.486016,4.000000,-1,0,,network_wide,-1,0,-1,-1,1,,,1100_1200,2400.000,2400.000,-1.000,0.000,,4:1520;12:800;,0.000,0.000,0.000,,,,0.000,4.000,59.999,37.290,1.000,0.103,0.103,23403.473,23403.473,0.000,0.000,0.000,1.000,1.000,2400.000,0.955,1.142,0.000,0.000,60.000,51.000,0.400,4.000,59.997,51.000,5966.439,160.003,5966.439,160.003,0.003,0.000,"LINESTRING (-96.770683 43.612854, -96.774567 43.572987)",2400.000,2400.000,23403.473,0.102549,4.000,60.000,60.000,60.000,60.000,59.926,59.702,56.777,59.851,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,59.999,59.998,56.998,59.999,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,2400.000,2400.000,0.000,59.999,0.000,-59.999,0.103,0.000,-0.103,0.000,0.000,-0.000,period-based
3,3,bpr,2,1,1.000000,6.000000,3.729024,6.000000,-1,0,,network_wide,-1,0,-1,-1,1,,,0700_0800,4571.170,4571.170,-1.000,0.000,,3:1971;,0.000,0.000,0.000,,,,0.000,6.001,59.991,37.285,1.000,0.176,0.176,25900.201,25900.201,0.000,0.000,0.000,1.000,1.000,4571.170,0.955,1.142,0.001,0.000,60.000,51.000,0.400,4.000,59.971,51.000,17046.004,457.184,17046.004,457.184,0.067,0.000,"LINESTRING (-96.711219 43.606076, -96.770389 43.613091)",4571.170,4571.170,25900.201,0.176492,6.001,60.000,60.000,60.000,60.000,59.995,59.981,56.986,59.990,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,57.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,4571.170,4571.170,0.000,59.991,0.000,-59.991,0.176,0.000,-0.176,0.001,0.000,-0.001,period-based
3,3,bpr,2,1,1.000000,6.000000,3.729024,6.000000,-1,0,,network_wide,-1,0,-1,-1,1,,,1100_1200,1520.000,1520.000,-1.000,0.000,,3:200;,0.000,0.000,0.000,,,,0.000,6.000,60.000,37.290,1.000,0.059,0.059,25900.201,25900.201,0.000,0.000,0.000,1.000,1.000,1520.000,0.955,1.142,0.000,0.000,60.000,51.000,0.400,4.000,60.000,51.000,5668.117,152.000,5668.117,152.000,0.000,0.000,"LINESTRING (-96.711219 43.606076, -96.770389 43.613091)",1520.000,1520.000,25900.201,0.058687,6.000,60.000,60.000,60.000,60.000,59.995,59.981,56.986,59.990,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,57.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,1520.000,1520.000,0.000,60.000,0.000,-60.000,0.059,0.000,-0.059,0.000,0.000,-0.000,period-based
4,4,bpr,2,6,1.000000,5.000000,3.107520,5.000000,-1,0,,network_wide,-1,0,-1,-1,1,,,0700_0800,5944.965,5944.965,-1.000,0.000,,5:809;8:4215;,0.000,0.000,0.000,,,,0.000,6.550,45.801,28.465,0.763,1.199,1.199,4958.181,4958.181,0.000,0.000,0.000,1.000,1.000,5944.965,0.955,1.142,1.175,0.250,60.000,51.000,0.400,4.000,32.609,28.942,18474.098,649.005,18474.098,649.005,153.591,66.165,"LINESTRING (-96.711515 43.605819, -96.711909 43.587591)",5944.965,5944.965,4958.181,1.199021,6.550,60.000,60.000,60.000,60.000,42.969,31.406,29.803,38.149,56.071,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,59.584,58.334,55.750,59.167,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,5944.965,5944.965,0.000,45.801,0.000,-45.801,1.199,0.000,-1.199,1.175,0.000,-1.175,period-based
4,4,bpr,2,6,1.000000,5.000000,3.107520,5.000000,-1,0,,network_wide,-1,0,-1,-1,1,,,1100_1200,2640.000,2640.000,-1.000,0.000,,5:560;8:1800;,0.000,0.000,0.000,,,,0.000,5.060,59.285,36.846,0.988,0.532,0.532,4958.181,4958.181,0.000,0.000,0.000,1.000,1.000,2640.000,0.955,1.142,0.077,0.000,60.000,51.000,0.400,4.000,57.693,50.999,8203.854,222.652,8203.854,222.652,2.652,0.000,"LINESTRING (-96.711515 43.605819, -96.711909 43.587591)",2640.000,2640.000,4958.181,0.532453,5.060,60.000,60.000,60.000,60.000,42.969,31.406,29.803,38.149,56.071,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,59.584,58.334,55.750,59.167,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,2640.000,2640.000,0.000,59.285,0.000,-59.285,0.532,0.000,-0.532,0.077,0.000,-0.077,period-based
5,5,bpr,3,1,1.000000,4.000000,2.486016,4.000000,-1,0,,network_wide,-1,0,-1,-1,1,,,0700_0800,8157.118,8157.118,-1.000,0.000,,2:1957;,0.000,0.000,0.000,,,,0.000,4.009,59.867,37.208,0.998,0.349,0.349,23403.473,23403.473,0.000,0.000,0.000,1.000,1.000,8157.118,0.955,1.142,0.014,0.000,60.000,51.000,0.400,4.000,59.563,51.000,20278.729,545.012,20278.729,545.012,1.204,0.000,"LINESTRING (-96.774040 43.572936, -96.770156 43.612802)",8157.118,8157.118,23403.473,0.348543,4.009,60.000,60.000,60.000,60.000,59.926,59.704,56.778,59.852,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,59.999,59.998,56.998,59.999,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,8157.118,8157.118,0.000,59.867,0.000,-59.867,0.349,0.000,-0.349,0.014,0.000,-0.014,period-based
5,5,bpr,3,1,1.000000,4.000000,2.486016,4.000000,-1,0,,network_wide,-1,0,-1,-1,1,,,1100_1200,2400.000,2400.000,-1.000,0.000,,2:200;,0.000,0.000,0.000,,,,0.000,4.000,59.999,37.290,1.000,0.103,0.103,23403.473,23403.473,0.000,0.000,0.000,1.000,1.000,2400.000,0.955,1.142,0.000,0.000,60.000,51.000,0.400,4.000,59.997,51.000,5966.439,160.003,5966.439,160.003,0.003,0.000,"LINESTRING (-96.774040 43.572936, -96.770156 43.612802)",2400.000,2400.000,23403.473,0.102549,4.000,60.000,60.000,60.000,60.000,59.926,59.704,56.778,59.852,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,59.999,59.998,56.998,59.999,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,2400.000,2400.000,0.000,59.999,0.000,-59.999,0.103,0.000,-0.103,0.000,0.000,-0.000,period-based
